"Name","LevelCount","RelativeLevel","TournamentLevelIndex","MirrorRelativeLevel","CloneRelativeLevel","DonateCapacity","SortCapacity","DonateReward","DonateXP","OverflowPrestige","GoldConversionValue","MaxLevelDonationCost","TradeCardAmount","ChanceWeight","BalanceMultiplier","UpgradeExp","UpgradeMaterialCount","OriginalUpgradeMaterialCount","UpgradeCost","PowerLevelMultiplier","RefundGems","TID","CastEffect","SortOrder","Red","Green","Blue","AppearEffect","BuySound","LoopEffect","CardTxtBgFrameIdx","CardGlowInstanceName","SpellSelectedSound","SpellAvailableSound","RotateExportName","GoldFrameExportName","IconSWF","IconExportName","TokenSWF","TokenExportName","TokenFlyingIconSWF","TokenFlyingIconExportName","TokenGoldValue","NpcTraderRerollGemCost","CanBeInChests","IfChestChanceOverXPercentDropGuaranteed"
"Rare",12,2,8,2,2,10,7,50,10,10,50,50,50,10,130,6,2,2,50,110,15,"TID_RARITY_RARE","SpellCasting",2,255,204,102,"openChest_get_rare","sound_buy_card_rare","openChest_loop_rare",1,"card_glow_rare",,,"card_rotate_epic_short","card_frame_gold","sc/ui.sc","icon_btn_card_rare","sc/ui_spells.sc","token_rare","sc/ui.sc","token_rare",500,10,"TRUE",
,,,,,,,,,,,,,,,,10,4,4,150,121,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,25,10,10,400,133,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,50,20,20,1000,146,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,100,50,50,2000,160,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200,100,100,4000,176,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,400,200,200,8000,193,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,600,400,400,15000,212,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,800,500,800,35000,233,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,750,1000,75000,256,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2000,1250,0,100000,281,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,309,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic",9,5,5,5,5,10,80,500,10,100,500,500,10,1,180,25,2,2,400,110,300,"TID_RARITY_EPIC","SpellCasting",3,255,153,255,"openChest_get_epic","sound_buy_card_epic","openChest_loop_epic",2,"card_frame_glow_epic",,,"card_rotate_rare_short","card_frame_gold","sc/ui.sc","icon_btn_card_epic","sc/ui_spells.sc","token_epic","sc/ui.sc","token_epic",1000,10,"TRUE",
,,,,,,,,,,,,,,,,100,4,4,2000,121,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200,10,10,4000,133,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,400,20,20,8000,146,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,600,40,50,15000,160,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,800,50,100,35000,176,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,100,200,75000,193,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2000,200,0,100000,212,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,233,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legendary",6,8,2,8,8,4000,2000,500,25,1000,20000,20000,1,1,250,250,2,2,5000,110,8000,"TID_RARITY_LEGENDARY","SpellCasting",4,255,153,255,"openChest_get_legendary","sound_buy_card_legendary","openChest_loop_legendary",3,"card_frame_glow_legendary","Select legendary spell","Legendary spell available","card_rotate_legendary_short","legendary_card_frame_gold","sc/ui.sc","icon_btn_card_legendary","sc/ui_spells.sc","token_legendary","sc/ui.sc","token_legendary",2000,10,"TRUE",75
,,,,,,,,,,,,,,,,600,4,4,15000,121,,,,,255,153,255,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,800,6,10,35000,133,,,,,255,255,153,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,10,20,75000,146,,,,,153,255,102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2000,20,0,100000,160,,,,,153,255,102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,176,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champion",4,10,0,10,10,4000,4000,1000,50,2000,40000,40000,1,1,250,800,2,0,35000,110,8000,"TID_RARITY_CHAMPION","SpellCasting",5,255,222,0,"openChest_get_champion","sound_buy_card_legendary","openChest_loop_champion",8,"card_frame_glow_champion",,,"card_rotate_legendary_short","champion_card_frame_gold","sc/ui.sc","icon_btn_card_champion","sc/ui_spells.sc","token_legendary","sc/ui.sc","token_legendary",4000,10,"TRUE",90
,,,,,,,,,,,,,,,,1600,8,0,75000,121,,,,,255,217,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2000,20,0,100000,133,,,,,253,251,222,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,
"Experimental",6,8,2,8,8,4000,2000,50,25,1000,20000,20000,1,1,250,250,2,0,5000,110,8000,"TID_RARITY_LEGENDARY","SpellCasting",6,255,153,255,"openChest_get_legendary","sound_buy_card_legendary","openChest_loop_legendary",3,"card_frame_glow_legendary","Select legendary spell","Legendary spell available","card_rotate_legendary_short","card_frame_gold","sc/ui.sc","icon_btn_card_legendary","sc/ui_spells.sc","token_legendary","sc/ui.sc","token_legendary",2000,10,"FALSE",
,,,,,,,,,,,,,,,,600,4,0,20000,121,,,,,255,153,255,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,800,10,0,50000,133,,,,,255,255,153,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,20,0,100000,146,,,,,153,255,102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,20,0,100000,160,,,,,153,255,102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,176,,,,,,,,,,,,,,,,,,,,,,,,,,
