"Name","FileName","ExportName","Layer","LowendLayer","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect","AssetMinTrophy","AssetMinTrophyScore","AssetMinTrophyFileName","SortValue","SpecialType","CheerFileName","CheerExportName","ClassType","Animate","StartFrameOverride","Visibility","ChainedSWF","ChainedExportName","OvertimeAnimationEffect","PveStartEffect","PveEndEffect"
"royal_base_bottom_2v2","sc/level_royal_arena.sc","royal_base_bottom_2v2","Base","Ground",,,,,,,,,,,,,,,,,,,,,,,
"goblin_roofshade_left_blue","sc/level_goblin_arena.sc","goblin_roofshade_left_blue","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_roofshade_left_red","sc/level_goblin_arena.sc","goblin_roofshade_left_red","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_roofshade_right_blue","sc/level_goblin_arena.sc","goblin_roofshade_right_blue","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_roofshade_right_red","sc/level_goblin_arena.sc","goblin_roofshade_right_red","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_sharp1","sc/level_goblin_arena.sc","goblin_sharp1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_sharp3","sc/level_goblin_arena.sc","goblin_sharp3","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_sidestand_left","sc/level_goblin_arena.sc","goblin_sidestand_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_sidestand_right","sc/level_goblin_arena.sc","goblin_sidestand_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_stone1","sc/level_goblin_arena.sc","goblin_stone1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_stone2","sc/level_goblin_arena.sc","goblin_stone2","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_waterwheel","sc/level_goblin_arena.sc","goblin_waterwheel","Object","Ground",95,95,10,-41,21,,,,,,,,,,,,,,,,,,
"goblin_woodpole1","sc/level_goblin_arena.sc","goblin_woodpole1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_woodtower1","sc/level_goblin_arena.sc","goblin_woodtower1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_woodtower2","sc/level_goblin_arena.sc","goblin_woodtower2","Object","Ground",95,95,2,-23,44,,,,,,,,,,,,,,,,,,
"goblin_woodwall1","sc/level_goblin_arena.sc","goblin_woodwall1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_tree1","sc/level_goblin_arena.sc","goblin_tree1","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_tree2","sc/level_goblin_arena.sc","goblin_tree2","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_tree3","sc/level_goblin_arena.sc","goblin_tree3","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_tree4","sc/level_goblin_arena.sc","goblin_tree4","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_red_tower","sc/level_goblin_arena.sc","goblin_red_tower","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_blue_tower","sc/level_goblin_arena.sc","goblin_blue_tower","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"goblin_2v2_base_01","sc/level_goblin_arena.sc","goblin_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,,,,,,
"training_cliff1","sc/arena_training.sc","cliff01","Object","Ground",95,95,-15,34,24,,,,,,,,,,,,,,,,,,
"training_cliff2","sc/arena_training.sc","cliff02","Object","Ground",95,95,-6,4,14,,,,,,,,,,,,,,,,,,
"training_cliff3","sc/arena_training.sc","cliff03","Object","Ground",95,95,-8,,31,,,,,,,,,,,,,,,,,,
"training_cliff4","sc/arena_training.sc","cliff04","Object","Ground",95,95,-3,-2,24,,,,,,,,,,,,,,,,,,
"training_cliff5","sc/arena_training.sc","cliff05","Object","Ground",95,95,-8,-8,19,,,,,,,,,,,,,,,,,,
"training_cliff6","sc/arena_training.sc","cliff06","Object","Ground",95,95,-13,2,32,,,,,,,,,,,,,,,,,,
"training_cliff7","sc/arena_training.sc","cliff07","Object","Ground",95,95,-10,2,13,,,,,,,,,,,,,,,,,,
"training_tree1","sc/arena_training.sc","tree01","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"training_tree2","sc/arena_training.sc","tree02","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"training_tree3","sc/arena_training.sc","tree03","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"training_bush1","sc/arena_training.sc","bush01","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"training_bush2","sc/arena_training.sc","bush02","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"training_cliffs_left","sc/arena_training.sc","training_cliffs_left","Object","Ground",95,95,-28,92,10,,,,,,,,,,,,,,,,,,
"training_cliffs_right","sc/arena_training.sc","training_cliffs_right","Object","Ground",98,98,-23,93,13,,,,,,,,,,,,,,,,,,
"training_deco1","sc/arena_training.sc","training_deco1","Object","Ground",72,72,2,,22,,,,,,,,,,,,,,,,,,
"training_deco2","sc/arena_training.sc","training_deco2","Object","Ground",78,78,,,13,,,,,,,,,,,,,,,,,,
"fence_left_back","sc/arena_training.sc","fence_left_back","Object","Ground",95,95,,10,15,,,,,,,,,,,,,,,,,,
"fence_left_front","sc/arena_training.sc","fence_left_front","Object","Ground",98,98,2,-6,21,,,,,,,,,,,,,,,,,,
"fence_right_back","sc/arena_training.sc","fence_right_back","Object","Ground",95,95,1,7,12,,,,,,,,,,,,,,,,,,
"fence_right_front","sc/arena_training.sc","fence_right_front","Object","Ground",95,95,2,,21,,,,,,,,,,,,,,,,,,
"tree_group01","sc/arena_training.sc","tree_group01","Object","Ground",90,90,-6,-6,,,,,,,,,,,,,,,,,,,
"bone_1_left","sc/level_bone_arena.sc","bone_1_left","Object","Ground",90,90,-3,-32,10,,,,,,,,,,,,,,,,,,
"bone_1_right","sc/level_bone_arena.sc","bone_1_right","Object","Ground",90,90,6,-56,60,,,,,,,,,,,,,,,,,,
"bone_2_left","sc/level_bone_arena.sc","bone_2_left","Object","Ground",90,90,-9,19,,,,,,,,,,,,,,,,,,,
"bone_2_right","sc/level_bone_arena.sc","bone_2_right","Object","Ground",90,90,,5,64,,,,,,,,,,,,,,,,,,
"bone_endstones_bottom","sc/level_bone_arena.sc","bone_endstones_bottom","Object","Ground",90,90,-15,-31,31,,,,,,,,,,,,,,,,,,
"bone_endstones_top","sc/level_bone_arena.sc","bone_endstones_top","Object","Ground",90,90,-10,-21,33,,,,,,,,,,,,,,,,,,
"bone_sidestands_botleft","sc/level_bone_arena.sc","bone_sidestands_botleft","Object","Ground",90,90,-19,132,,,,,,,,,,,,,,,,,,,
"bone_sidestands_botright","sc/level_bone_arena.sc","bone_sidestands_botright","Object","Ground",90,90,-15,153,5,,,,,,,,,,,,,,,,,,
"bone_sidestands_right","sc/level_bone_arena.sc","bone_sidestands_right","Object","Ground",90,90,-12,127,,,,,,,,,,,,,,,,,,,
"bone_sidestands_topleft","sc/level_bone_arena.sc","bone_sidestands_topleft","Object","Ground",90,90,-31,127,5,,,,,,,,,,,,,,,,,,
"bone_tower1","sc/level_bone_arena.sc","bone_tower1","Object","Ground",98,98,-8,-45,,,,,,,,,,,,,,,,,,,
"bone_tower2","sc/level_bone_arena.sc","bone_tower2","Object","Ground",98,98,-6,-35,22,,,,,,,,,,,,,,,,,,
"bone_deco_left","sc/level_bone_arena.sc","bone_deco_left","Object","Object",90,90,,-2,21,,,,,,,,,,,,,,,,,,
"bone_deco_right","sc/level_bone_arena.sc","bone_deco_right","Object","Object",90,90,-1,,37,,,,,,,,,,,,,,,,,,
"bone_decostone1","sc/level_bone_arena.sc","bone_decostone1","Object","Ground",111,111,-13,-17,,,,,,,,,,,,,,,,,,,
"bone_decostone2","sc/level_bone_arena.sc","bone_decostone2","Object","Ground",90,90,2,-11,39,,,,,,,,,,,,,,,,,,
"bone_2v2_base_01","sc/level_bone_arena.sc","bone_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,"Always",,,,,
"dark_fire_pot","sc/level_dark_arena.sc","dark_fire_pot","Object","Object",95,95,-6,-6,,,"dark_arena_pot_flame",,,,,,,,,,,,,,,,
"dark_gate_bottom","sc/level_dark_arena.sc","dark_gate_bottom","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_gate_top","sc/level_dark_arena.sc","dark_gate_top","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_deco1","sc/level_dark_arena.sc","dark_deco1","Object","Ground",84,84,,-4,20,,,,,,,,,,,,,,,,,,
"dark_pekka_bottom_left","sc/level_dark_arena.sc","dark_pekka_bottom_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_pekka_bottom_right","sc/level_dark_arena.sc","dark_pekka_bottom_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_pekka_top_left","sc/level_dark_arena.sc","dark_pekka_top_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_pekka_top_right","sc/level_dark_arena.sc","dark_pekka_top_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_stand_blue_left","sc/level_dark_arena.sc","dark_stand_blue_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_stand_blue_right","sc/level_dark_arena.sc","dark_stand_blue_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_stand_left_red","sc/level_dark_arena.sc","dark_stand_left_red","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"dark_stand_red_right","sc/level_dark_arena.sc","dark_stand_red_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"lava_crack01","sc/level_dark_arena.sc","lava_crack01","Object","Ground",1,1,,,,,,,,,,,,,,,,,,,,,
"lava_crack02","sc/level_dark_arena.sc","lava_crack02","Object","Ground",1,1,,,,,,,,,,,,,,,,,,,,,
"lava_crack03","sc/level_dark_arena.sc","lava_crack03","Object","Ground",1,1,,,,,,,,,,,,,,,,,,,,,
"spiked_fence_left","sc/level_dark_arena.sc","spiked_fence_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spiked_fence_right","sc/level_dark_arena.sc","spiked_fence_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"stone_deco01","sc/level_dark_arena.sc","stone_deco01","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"stone_deco02","sc/level_dark_arena.sc","stone_deco02","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"stone_deco03","sc/level_dark_arena.sc","stone_deco03","Object","Ground",95,95,,18,10,,,,,,,,,,,,,,,,,,
"stone_deco04","sc/level_dark_arena.sc","stone_deco04","Object","Ground",95,95,-3,50,10,,,,,,,,,,,,,,,,,,
"stone_deco05","sc/level_dark_arena.sc","stone_deco05","Object","Ground",95,95,,2,,,,,,,,,,,,,,,,,,,
"stone_deco07","sc/level_dark_arena.sc","stone_deco07","Object","Ground",95,95,,15,,,,,,,,,,,,,,,,,,,
"dark_2v2_base_01","sc/level_dark_arena.sc","dark_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,"Always",,,,,
"barbarian_blocktree","sc/level_barbarian_arena.sc","barbarian_blocktree","Object","Ground",95,95,-6,-6,29,,,,,,,,,,,,,,,,,,
"barbarian_blue_barracks","sc/level_barbarian_arena.sc","barbarian_blue_barracks","Object","Ground",95,95,-22,-4,38,,,,,,,,,,,,,,,,,,
"barbarian_red_barracks","sc/level_barbarian_arena.sc","barbarian_red_barracks","Object","Ground",95,95,-6,-6,31,,,,,,,,,,,,,,,,,,
"barbarian_blue_sidestand_left","sc/level_barbarian_arena.sc","barbarian_blue_sidestand_left","Object","Ground",95,95,-11,1,20,,,,,,,,,,,,,,,,,,
"barbarian_blue_sidestand_right","sc/level_barbarian_arena.sc","barbarian_blue_sidestand_right","Object","Ground",95,95,-17,-6,26,,,,,,,,,,,,,,,,,,
"barbarian_red_sidestand_left","sc/level_barbarian_arena.sc","barbarian_red_sidestand_left","Object","Ground",95,95,-6,-6,10,,,,,,,,,,,,,,,,,,
"barbarian_red_sidestand_right","sc/level_barbarian_arena.sc","barbarian_red_sidestand_right","Object","Ground",95,95,-6,-6,19,,,,,,,,,,,,,,,,,,
"barbarian_tower1","sc/level_barbarian_arena.sc","barbarian_tower1","Object","Ground",95,95,-4,9,20,,,,,,,,,,,,,,,,,,
"barbarian_tower2","sc/level_barbarian_arena.sc","barbarian_tower2","Object","Ground",95,95,,5,11,,,,,,,,,,,,,,,,,,
"barbarian_tower3","sc/level_barbarian_arena.sc","barbarian_tower3","Object","Ground",104,104,-12,25,20,,,,,,,,,,,,,,,,,,
"barbarian_tower4","sc/level_barbarian_arena.sc","barbarian_tower4","Object","Ground",95,95,5,11,23,,,,,,,,,,,,,"Always",,,,,
"barbarian_barrell","sc/level_barbarian_arena.sc","barbarian_barrell","Object","Ground",95,95,-8,51,39,,,,,,,,,,,,,,,,,,
"barbarian_fence1","sc/level_barbarian_arena.sc","barbarian_fence1","Object","Ground",95,95,-2,4,39,,,,,,,,,,,,,,,,,,
"barbarian_bush1x","sc/level_barbarian_arena.sc","barbarian_bush1x","Object","Ground",95,95,-3,-5,25,,,,,,,,,,,,,,,,,,
"barbarian_mushrooms","sc/level_barbarian_arena.sc","barbarian_mushrooms","Object","Ground",95,95,-2,4,6,,,,,,,,,,,,,,,,,,
"barbarian_deco1","sc/level_barbarian_arena.sc","barbarian_deco1","Object","Ground",95,95,-4,13,24,,,,,,,,,,,,,,,,,,
"barbarian_deco2","sc/level_barbarian_arena.sc","barbarian_deco2","Object","Ground",95,95,-4,13,39,,,,,,,,,,,,,,,,,,
"barbarian_2v2_base_01","sc/level_barbarian_arena.sc","barbarian_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,"Always",,,,,
"spell_arena_edge_back","sc/level_spell_arena.sc","arena_edge_back","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_arena_edge_front","sc/level_spell_arena.sc","arena_edge_front","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_arena_edge_pole","sc/level_spell_arena.sc","arena_edge_pole","Object","Ground",105,105,,-39,17,,,,,,,,,,,,,,,,,,
"spell_entry_pole_back","sc/level_spell_arena.sc","entry_pole_back","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_entry_pole_front","sc/level_spell_arena.sc","entry_pole_front","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_crystal_rock_left","sc/level_spell_arena.sc","crystal_rock_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_crystal_rock_right","sc/level_spell_arena.sc","crystal_rock_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_pot_left","sc/level_spell_arena.sc","spell_pot_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_pot_right","sc/level_spell_arena.sc","spell_pot_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_stand_blue_left","sc/level_spell_arena.sc","stand_blue_left","Object","Ground",109,109,-17,-47,6,,,,,,,,,,,,,,,,,,
"spell_stand_blue_right","sc/level_spell_arena.sc","stand_blue_right","Object","Ground",101,101,-17,-40,,,,,,,,,,,,,,,,,,,
"spell_stand_red_left","sc/level_spell_arena.sc","stand_red_left","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_stand_red_right","sc/level_spell_arena.sc","stand_red_right","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_red_deco","sc/level_spell_arena.sc","spell_red_deco","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_blue_deco","sc/level_spell_arena.sc","spell_blue_deco","Object","Ground",95,95,-6,-6,,,,,,,,,,,,,,,,,,,
"spell_2v2_base_01","sc/level_spell_arena.sc","spell_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,,,,,,
"legendary_statue1","sc/level_legendary_arena.sc","LegendaryArena_Statue1","Object","Ground",80,80,-7,-3,26,,,,,,,,,,,,,,,,,,
"legendary_statue2","sc/level_legendary_arena.sc","LegendaryArena_Statue2","Object","Ground",70,70,-8,2,26,,,,,,,,,,,,,,,,,,
"legendary_statue3","sc/level_legendary_arena.sc","LegendaryArena_Statue3","Object","Ground",,,-3,8,68,,,,,,,,,,,,,,,,,,
"legendary_statue4","sc/level_legendary_arena.sc","LegendaryArena_Statue4","Object","Ground",,,-6,-6,,,,,,,,,,,,,,,,,,,
"legendary_torch2","sc/level_legendary_arena.sc","LegendaryArena_torch","Object","Ground",87,87,-2,5,16,,"LegendaryArena_torch_fire",,,,,,,,,,,,,,,,
"smoke_glow1","sc/level_legendary_arena.sc","smoke_glow1","Object","Ground",,,,,,,"legendaryArena_smokeGlow",,,,,,,,,,,,,,,,
"smoke_glow2","sc/level_legendary_arena.sc","smoke_glow2","Object","Ground",,,,,,,"legendaryArena_smokeGlow",,,,,,,,,,,,,,,,
"smoke_glow3","sc/level_legendary_arena.sc","smoke_glow3","Object","Ground",,,,,,,"legendaryArena_smokeGlow",,,,,,,,,,,,,,,,
"LegendaryArena_Crystal1","sc/level_legendary_arena.sc","LegendaryArena_Crystal1","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"LegendaryArena_Crystal2","sc/level_legendary_arena.sc","LegendaryArena_Crystal2","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"LegendaryArena_Crystal3","sc/level_legendary_arena.sc","LegendaryArena_Crystal3","Object","Ground",71,71,-6,24,16,,,,,,,,,,,,,,,,,,
"LegendaryArena_Crystal4","sc/level_legendary_arena.sc","LegendaryArena_Crystal4","Object","Ground",74,74,-4,18,30,,,,,,,,,,,,,,,,,,
"LegendaryArena_Island1_float","sc/level_legendary_arena.sc","LegendaryArena_Island1_float","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"LegendaryArena_Island1_float_blue","sc/level_legendary_arena.sc","LegendaryArena_Island1_float_blue","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"LegendaryArena_Island2_float","sc/level_legendary_arena.sc","LegendaryArena_Island2_float","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"LegendaryArena_Island2_float_blue","sc/level_legendary_arena.sc","LegendaryArena_Island2_float_blue","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"legendary_2v2_base_01","sc/level_legendary_arena.sc","legendary_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,,,,,,
"builder_blue_sidestand1","sc/level_builder_arena.sc","builder_blue_sidestand1","Object","Ground",96,96,-4,7,7,,,,,,,,,,,,,,,,,,
"builder_blue_sidestand2","sc/level_builder_arena.sc","builder_blue_sidestand2","Object","Ground",96,96,-17,-2,12,,,,,,,,,,,,,,,,,,
"builder_left_mid_tower","sc/level_builder_arena.sc","builder_left_mid_tower","Object","Ground",93,93,-2,33,16,,,,,,,,,,,,,,,,,,
"builder_red_sidestand1","sc/level_builder_arena.sc","builder_red_sidestand1","Object","Ground",96,96,3,6,4,,,,,,,,,,,,,,,,,,
"builder_red_sidestand2","sc/level_builder_arena.sc","builder_red_sidestand2","Object","Ground",96,96,-23,,8,,,,,,,,,,,,,,,,,,
"builder_right_mid_tower","sc/level_builder_arena.sc","builder_right_mid_tower","Object","Ground",96,96,-15,37,33,,,,,,,,,,,,,,,,,,
"builder_red_gate","sc/level_builder_arena.sc","builder_red_gate","Object","Ground",98,98,2,7,22,,,,,,,,,,,,,,,,,,
"builder_blue_gate","sc/level_builder_arena.sc","builder_blue_gate","Object","Ground",101,101,-13,64,24,,,,,,,,,,,,,,,,,,
"builder_red_tower","sc/level_builder_arena.sc","builder_red_tower","Object","Ground",96,96,,-18,5,,,,,,,,,,,,,,,,,,
"builder_blue_tower","sc/level_builder_arena.sc","builder_blue_tower","Object","Ground",102,102,-13,-20,31,,,,,,,,,,,,,,,,,,
"builder_blocktree1","sc/level_builder_arena.sc","builder_blocktree1","Object","Ground",87,87,-21,-37,2,,,,,,,,,,,,,,,,,,
"builder_treestump1","sc/level_builder_arena.sc","builder_treestump1","Object","Ground",96,96,-2,11,16,,,,,,,,,,,,,,,,,,
"builder_treestump2","sc/level_builder_arena.sc","builder_treestump2","Object","Ground",96,96,-4,7,15,,,,,,,,,,,,,,,,,,
"builder_treetrunks1","sc/level_builder_arena.sc","builder_treetrunks1","Object","Ground",96,96,1,7,15,,,,,,,,,,,,,,,,,,
"builder_treetrunks2","sc/level_builder_arena.sc","builder_treetrunks2","Object","Ground",96,96,-2,-1,9,,,,,,,,,,,,,,,,,,
"builder_upgradefence1","sc/level_builder_arena.sc","builder_upgradefence1","Object","Ground",99,99,,7,18,,,,,,,,,,,,,,,,,,
"builder_upgradefence2","sc/level_builder_arena.sc","builder_upgradefence2","Object","Ground",89,89,-4,-5,2,,,,,,,,,,,,,,,,,,
"builder_2v2_base_01","sc/level_builder_arena.sc","builder_2v2_base_01","Base","Ground",,,,,,,,,,,-20000,,,,,,,,,,,,
"ice_cauldron_01","sc/level_ice_arena.sc","ice_cauldron_01","Object","Ground",85,85,-20,20,30,,"ice_cauldron_fire_01",,,,,,,,,,,"Always",,,,,
"ice_cauldron_02","sc/level_ice_arena.sc","ice_cauldron_02","Object","Ground",85,85,-12,25,45,,"ice_cauldron_fire_02",,,,,,,,,,,,,,,,
"ice_chain_01_left","sc/level_ice_arena.sc","ice_chain_01_left","Object","Ground",90,90,-5,5,,,,,,,,,,,,,,,,,,,
"ice_chain_01_right","sc/level_ice_arena.sc","ice_chain_01_right","Object","Ground",90,90,-5,5,,,,,,,,,,,,,,,,,,,
"ice_cube_01","sc/level_ice_arena.sc","ice_cube_01","Object","Ground",,,,,,,,,,,,,,,,"true",,,,,,,
"ice_cube_02","sc/level_ice_arena.sc","ice_cube_02","Ground","Ground",,,,,,,,,,,,,,,,"true",,,,,,,
"ice_cubegroup_02","sc/level_ice_arena.sc","ice_cubegroup_02","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"ice_mountain_01","sc/level_ice_arena.sc","ice_mountain_01","Ground","Ground",-90,-90,-30,80,-20,,,,,,,,,,,,,,,,,,
"ice_mountain_02","sc/level_ice_arena.sc","ice_mountain_02","Ground","Ground",-90,-90,-50,50,-20,,,,,,,,,,,,,,,,,,
"ice_rock_01","sc/level_ice_arena.sc","ice_rock_01","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
"ice_rock_02","sc/level_ice_arena.sc","ice_rock_02","Object","Ground",,,,,,,,,,,,,,,,,,,,,,,
