Name,Disabled,Group,Location,Condition,Dependency,PermittedInput,FinishRequirement,SkipCondition,FileName,PopupCorner,PopupExportName,BubbleExportName,TID,Sound,ForceSpellTile,DisableOtherSpells,SpellTileX,SpellTileY,SpellTileSearch,DisableSpells,HideCombatUI,DisableTroopMovement,DisableSpawnPoints,DisableOpponentSpells,PauseCombat,Taunt,HightlightTargetSearch,DisableBattleStartScreen,StageTargetQuery,ForceOpenUI
T_1_2_King_Speaks,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_KING_TEXT3,sound_tutorial_first_vo,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,
T_1_2_WaitForDeck,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,,skip,getMana() >= (getManaSpell(Giant) + getManaSpell(Archer)) || npcMatchNum() > 1,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,
T_1_2_Dragspell,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,dragSpell:Giant,dragSpell:Giant,npcMatchNum() > 1,,,,,,,TRUE,TRUE,7,44,,,,,,TRUE,TRUE,,,,,
T_1_2_Wait_Dragspell2,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),T_1_2_Dragspell,,skip,timeFromLastStepMS() > 2000 || npcMatchNum() > 1,,,,,,,,,,,,,,,,TRUE,,,,,,
T_1_2_Dragspell2,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,dragSpell:Archer,dragSpell:Archer,npcMatchNum() > 1,,,,,,,TRUE,TRUE,7,44,,,,,,TRUE,TRUE,,,,,
T_1_2_WaitForFireBall,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,,skip,hasSpellAndMana(Fireball) && hasEnemyTroop(Knight) && isNPC(1),,,,,,,,,,,,,TRUE,,,,,,,,,
T_1_2_FireBall_Speaks,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(1),,,,npcMatchNum() > 1,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_KING_FIREBALL,sound_tutorial_first_vo,,,,,,,TRUE,,,,TRUE,,,,,
,,,,,,,,npcMatchNum() > 1,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_KING_FIREBALL_DONT_WORRY,sound_tutorial_first_vo,,,,,,,TRUE,,,,TRUE,,,,,
T_1_2_DragFireBall,TRUE,Wins1_MUTE_SPELLS,FirstMatch,"hasSpellAndMana(Fireball) && hasEnemyTroop(Knight) && isNPC(1)",T_1_2_FireBall_Speaks,dragSpell:Fireball,dragSpell:Fireball,npcMatchNum() > 1,,,,,,,TRUE,,,,enemyCharacter:Knight,,,,TRUE,TRUE,TRUE,,,,,
T_1_2_HighlightReminder,TRUE,Wins1_MUTE_SPELLS,FirstMatch,starsGained() > 0 && isNPC(1),T_1_2_DragFireBall,,,npcMatchNum() > 1,,,,,,,,,,,,,,,,TRUE,,,area:enemy,,,
T_1_3_King_Speaks,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(2),,,,npcMatchNum() > 2,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_KING_BIDEYOURTIME,sound_tutorial_first_vo,,TRUE,,,,TRUE,TRUE,,,,TRUE,,,TRUE,,
T_1_3_WaitGiant,TRUE,Wins1_MUTE_SPELLS,FirstMatch,isNPC(2),,,skip,(hasEnemyTroop(Giant) && getTimeMS() > 5000) || npcMatchNum() > 2,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,
T_1_3_DragspellDialogue,TRUE,Wins1_MUTE_SPELLS,FirstMatch,hasSpellAndMana(MiniPekka) && isNPC(2),T_1_3_WaitGiant,,,npcMatchNum() > 2,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_KING_GIANTKILLER,sound_tutorial_first_vo,,,,,,TRUE,TRUE,,,,TRUE,,,,,
T_1_3_Dragspell,TRUE,Wins1_MUTE_SPELLS,FirstMatch,hasEnemyTroop(Giant) && hasSpellAndMana(MiniPekka) && isNPC(2),T_1_3_DragspellDialogue,dragSpell:MiniPekka,dragSpell:MiniPekka,npcMatchNum() > 2,,,,,,,TRUE,TRUE,-5,-5,playerBuilding:PrincessTower:Right,,,TRUE,,TRUE,TRUE,,,,,
T_1_3_HighlightReminder,TRUE,Wins1_MUTE_SPELLS,FirstMatch,enemyTroopsDead() && isNPC(2),T_1_3_Dragspell,,,npcMatchNum() > 2,,,,,,,,,,,,,,,,,,,area:enemy,,,
