"Name","RequiredSets","OptionalSets","UseAllRequired"
,"Draft_RH_WhichWitch_Distractions","Draft_RH_WhichWitch_HitTower",
,"Draft_RH_WhichWitch_DirectDamage","Draft_RH_WhichWitch_VersatileLegs",
,"Draft_RH_WhichWitch_WinCons","Draft_RH_WhichWitch_TankSupport",
,"Draft_RH_WhichWitch_Witch_NightWitch","Draft_RH_WhichWitch_AntiTank",
,,"Draft_RH_WhichWitch_2ndSpell",
,,"Draft_RH_WhichWitch_Splash",
,,"Draft_RH_WhichWitch_MiniTank",
,,"Draft_RH_WhichWitch_Basic3s",
,,"Draft_RH_WhichWitch_CycleUnder3",
,,"Draft_RH_WhichWitch_CheapAntiAir",
,,"Draft_RH_Champions",
"Draft_Goblins_vs_Skeletons","Draft_GvsS_BigSpell","Draft_GvsS_Goblins_Skeletons",
,"Draft_GvsS_SmallSpell","Draft_GvsS_GoblinHut_Tombstone",
,"Draft_GvsS_GoblinGiant_GiantSkeleton","Draft_GvsS_GoblinGang_SkeletonArmy",
,"Draft_GvsS_GoblinDrill_SkeletonBalloon","Draft_GvsS_SpearGoblins_Bomber",
,"Draft_GvsS_GoblinBarrel_Graveyard","Draft_GvsS_DartGoblin_SkeletonDragons",
,,"Draft_GvsS_DartGoblin_BattleTricks",
"Draft_Competitive_SuperCards","Draft_Comp_SuperCards","Draft_Comp_TankSupport",
,"Draft_Comp_WinCon","Draft_Comp_AntiTank",
,"Draft_Comp_SmallSpell","Draft_Comp_MiniTank",
,"Draft_Comp_BigSpell","Draft_Comp_Distractions",
,"Draft_Comp_AntiAir",,
,"Draft_Comp_CheapAntiAir",,
