"StatType","UnitType","StatTitleTID","IconExportName"
"TYPE_ABILITY_DASH_COUNT","UNIT_INTEGER","TID_ABILITY_STAT_DASH_COUNT","icons_stats_dash_count"
"TYPE_ABILITY_DURATION","UNIT_TIME","TID_ABILITY_STAT_DURATION","icons_stats_deploy_time"
"TYPE_ABILITY_DAMAGE_RESISTANCE","UNIT_PERCENT_NOSIGN","TID_ABILITY_DAMAGE_RESISTANCE","icons_stats_shield_hp"
"TYPE_DEATH_SPAWN_COUNT","UNIT_STRING","TID_SPELL_ATTRIBUTE_DEATH_SPAWN","icons_stats_troop_count"
"TYPE_COMBO_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_COMBO_DAMAGE","icons_stats_dmg"
"TYPE_MAX_GROUP_SIZE","UNIT_COUNT","TID_SPELL_ATTRIBUTE_MAX_GROUP_SIZE","icons_stats_troop_count"
"TYPE_DAMAGE_RECOIL","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DMG_RECOIL","icons_stats_dmg"
"TYPE_MAX_OVERHEAL","UNIT_PERCENT","TID_SPELL_ATTRIBUTE_MAX_OVERHEAL","icons_stats_boost_heal"
"TYPE_BOOST_DURATION","UNIT_TIME","TID_SPELL_ATTRIBUTE_BOOST_DURATION","icons_stats_deploy_time"
"TYPE_DAMAGE_REDUCTION","UNIT_PERCENT_NOSIGN","TID_ABILITY_DAMAGE_RESISTANCE","icons_stats_shield_hp"
