"CardName","BadgeName","TaskNumber","IsTaskActive","TaskType","TaskOverrideTID","TaskUnlockLevel","Objective1","RewardType1","RewardAmount1","Objective2","RewardType2","RewardAmount2","Objective3","RewardType3","RewardAmount3","SingleRequirementAmount"
,,3,"TRUE","HitsFullDamage",,14,600,"CosmeticsToken",100,1800,"CosmeticsToken",125,3600,"CosmeticsToken",150,
"RoyalRecruits",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,165000,"Cards",200,495000,"Gold",2000,830000,"Gems",150,
,,2,"TRUE","HitTowers",,10,700,"Gold",3000,2000,"WildcardCommon",200,3500,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"DartBarrell",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,185000,"Cards",100,560000,"Gold",4000,930000,"Gems",150,
,,2,"TRUE","HitTowers",,11,420,"Gold",6000,1200,"WildcardRare",100,2100,"Gold",9000,
,,3,"TRUE","AttackSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,8
"Zap",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,28000,"Cards",200,85000,"Gold",2000,140000,"Gems",150,
,,2,"TRUE","HitUnits",,10,700,"Gold",3000,2000,"WildcardCommon",200,3500,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Fisherman",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,110000,"Cards",2,335000,"Gold",8000,560000,"Gems",150,
,,2,"TRUE","DebuffUnits","TID_MASTERY_TASK_HOOKUNITS",12,350,"Gold",12000,1000,"WildcardLegendary",2,1750,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"GoblinDrill",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","SpawnUnits",,9,600,"Cards",20,1800,"Gold",6000,3000,"Gems",150,
,,2,"TRUE","DealDamage","TID_MASTERY_TASK_DEALDAMAGE_GOBLIN_DRILL",11,160000,"Gold",9000,450000,"WildcardEpic",20,790000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"RoyalDelivery",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,87500,"Cards",200,260000,"Gold",2000,435000,"Gems",150,
,,2,"TRUE","HitUnitsWithSpawn",,10,420,"Gold",3000,1200,"WildcardCommon",200,2100,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Wizard",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,190000,"Cards",100,570000,"Gold",4000,950000,"Gems",150,
,,2,"TRUE","KillUnits",,11,700,"Gold",6000,2000,"WildcardRare",100,3500,"Gold",9000,
,,3,"TRUE","KillUnitsSingleDeploy",,14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,10
"MovingCannon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,260000,"Cards",20,790000,"Gold",6000,1320000,"Gems",150,
,,2,"TRUE","ReceiveHitsTower",,11,980,"Gold",9000,2800,"WildcardEpic",20,4900,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"SkeletonArmy",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,130000,"Cards",20,390000,"Gold",6000,650000,"Gems",150,
,,2,"TRUE","HitUnits",,11,2450,"Gold",9000,7000,"WildcardEpic",20,12000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Miner",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,62500,"Cards",2,185000,"Gold",8000,310000,"Gems",150,
,,2,"TRUE","ReceiveHitsTower",,12,1750,"Gold",12000,5000,"WildcardLegendary",2,8750,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"HogRider",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,85000,"Cards",100,250000,"Gold",4000,420000,"Gems",150,
,,2,"TRUE","HitTowers",,11,560,"Gold",6000,1600,"WildcardRare",100,2800,"Gold",9000,
,,3,"TRUE","DealTowerHitsSingleBattle",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,10
"ThreeMusketeers",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,300000,"Cards",100,890000,"Gold",4000,1500000,"Gems",150,
,,2,"TRUE","HitTowers",,11,700,"Gold",6000,2000,"WildcardRare",100,3500,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Arrows",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,65000,"Cards",200,195000,"Gold",2000,325000,"Gems",150,
,,2,"TRUE","KillUnits",,10,420,"Gold",3000,1200,"WildcardCommon",200,2100,"Gold",5000,
,,3,"TRUE","HitUnitsSingleDeploy",,14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,12
"Musketeer",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,175000,"Cards",100,520000,"Gold",4000,870000,"Gems",150,
,,2,"TRUE","KillUnits",,11,490,"Gold",6000,1400,"WildcardRare",100,2450,"Gold",9000,
,,3,"TRUE","HitUnitsSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,9
"Fireball",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,72500,"Cards",100,215000,"Gold",4000,360000,"Gems",150,
,,2,"TRUE","HitUnits",,11,350,"Gold",6000,1000,"WildcardRare",100,1750,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Witch",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,220000,"Cards",20,650000,"Gold",6000,1100000,"Gems",150,
,,2,"TRUE","SpawnUnits",,11,2800,"Gold",9000,8000,"WildcardEpic",20,14000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"GoblinBarrel",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,92500,"Cards",20,280000,"Gold",6000,465000,"Gems",150,
,,2,"TRUE","HitTowers",,11,1400,"Gold",9000,4000,"WildcardEpic",20,7000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Valkyrie",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,145000,"Cards",100,440000,"Gold",4000,740000,"Gems",150,
,,2,"TRUE","KillUnits",,11,350,"Gold",6000,1000,"WildcardRare",100,1750,"Gold",9000,
,,3,"TRUE","HitUnitsSingleDeploy",,14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,15
"Bats",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,97500,"Cards",200,290000,"Gold",2000,485000,"Gems",150,
,,2,"TRUE","HitGroundUnits",,10,1400,"Gold",3000,4000,"WildcardCommon",200,7000,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"ElectroSpirit",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,35000,"Cards",200,105000,"Gold",2000,175000,"Gems",150,
,,2,"TRUE","HitUnits",,10,980,"Gold",3000,2800,"WildcardCommon",200,4900,"Gold",5000,
,,3,"TRUE","DebuffUnitsSingleDeploy","TID_MASTERY_TASK_DEBUFFUNITSSINGLEDEPLOY_ELECTROSPIRIT",14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,6
"ElectroDragon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,165000,"Cards",20,495000,"Gold",6000,830000,"Gems",150,
,,2,"TRUE","HitUnits",,11,1450,"Gold",9000,4200,"WildcardEpic",20,7350,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"MiniPekka",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,150000,"Cards",100,455000,"Gold",4000,760000,"Gems",150,
,,2,"TRUE","KillUnits",,11,350,"Gold",6000,1000,"WildcardRare",100,1750,"Gold",9000,
,,3,"TRUE","HitsFullDamage",,14,800,"CosmeticsToken",100,2400,"CosmeticsToken",125,4800,"CosmeticsToken",150,
"BabyDragon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,160000,"Cards",20,480000,"Gold",6000,800000,"Gems",150,
,,2,"TRUE","KillUnits",,11,420,"Gold",9000,1200,"WildcardEpic",20,2100,"Gold",15000,
,,3,"TRUE","HitUnitsSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,12
"RoyalGiant",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,110000,"Cards",200,335000,"Gold",2000,560000,"Gems",150,
,,2,"TRUE","HitTowers",,10,780,"Gold",3000,2200,"WildcardCommon",200,3850,"Gold",5000,
,,3,"TRUE","DealTowerHitsSingleBattle",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,8
"Mortar",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,50000,"Cards",200,150000,"Gold",2000,250000,"Gems",150,
,,2,"TRUE","HitTowers",,10,350,"Gold",3000,1000,"WildcardCommon",200,1750,"Gold",5000,
,,3,"TRUE","DealTowerHitsSingleBattle",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,6
"Earthquake",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,39000,"Cards",100,115000,"Gold",4000,195000,"Gems",150,
,,2,"TRUE","HitBuildings",,11,1050,"Gold",6000,3000,"WildcardRare",100,5250,"Gold",9000,
,,3,"TRUE","DealBuildingHitsSingleBattle",,14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,18
"Goblins",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,33000,"Cards",200,97500,"Gold",2000,165000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1050,"Gold",3000,3000,"WildcardCommon",200,5250,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Rascals",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,155000,"Cards",200,460000,"Gold",2000,770000,"Gems",150,
,,2,"TRUE","HitUnits",,10,2650,"Gold",3000,7600,"WildcardCommon",200,13000,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"MiniSparkys",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,140000,"Cards",100,425000,"Gold",4000,710000,"Gems",150,
,,2,"TRUE","DebuffUnits","TID_MASTERY_TASK_SHOCKUNITS",11,1400,"Gold",6000,4000,"WildcardRare",100,7000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"LavaHound",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,130000,"Cards",2,385000,"Gold",8000,650000,"Gems",150,
,,2,"TRUE","ReceiveHitsTower",,12,3500,"Gold",12000,10000,"WildcardLegendary",2,18000,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"Balloon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,155000,"Cards",20,460000,"Gold",6000,770000,"Gems",150,
,,2,"TRUE","HitTowers",,11,350,"Gold",9000,1000,"WildcardEpic",20,1750,"Gold",15000,
,,3,"TRUE","DealTowerHitsSingleBattle",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,6
"Log",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,77500,"Cards",2,230000,"Gold",8000,385000,"Gems",150,
,,2,"TRUE","KillUnits",,12,640,"Gold",12000,1800,"WildcardLegendary",2,3150,"Gold",18000,
,,3,"TRUE","KnockbackUnitsSingleDeploy","TID_MASTERY_TASK_KNOCKBACKUNITSSINGLEDEPLOY_LOG",14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,10
"GoblinGiant",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,120000,"Cards",20,360000,"Gold",6000,600000,"Gems",150,
,,2,"TRUE","HitBuildings",,11,980,"Gold",9000,2800,"WildcardEpic",20,4900,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Princess",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,160000,"Cards",2,485000,"Gold",8000,810000,"Gems",150,
,,2,"TRUE","HitTowers",,12,420,"Gold",12000,1200,"WildcardLegendary",2,2100,"Gold",18000,
,,3,"TRUE","AttackSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,7
"SkeletonDragons",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,140000,"Cards",200,415000,"Gold",2000,700000,"Gems",150,
,,2,"TRUE","KillUnits",,10,350,"Gold",3000,1000,"WildcardCommon",200,1750,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"FireSpirits",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,35000,"Cards",200,105000,"Gold",2000,175000,"Gems",150,
,,2,"TRUE","HitUnits",,10,780,"Gold",3000,2200,"WildcardCommon",200,3850,"Gold",5000,
,,3,"TRUE","HitUnitsSingleDeploy",,14,150,"CosmeticsToken",100,450,"CosmeticsToken",125,900,"CosmeticsToken",150,5
"Heal",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,10000,"Cards",100,30000,"Gold",4000,50000,"Gems",150,
,,2,"TRUE","HealUnits",,11,640,"Gold",6000,1800,"WildcardRare",100,3150,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"IceSpirits",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,18000,"Cards",200,52500,"Gold",2000,87500,"Gems",150,
,,2,"TRUE","DebuffUnits","TID_MASTERY_TASK_FREEZEUNITS",10,420,"Gold",3000,1200,"WildcardCommon",200,2100,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Skeletons",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,20000,"Cards",200,60000,"Gold",2000,100000,"Gems",150,
,,2,"TRUE","HitUnits",,10,700,"Gold",3000,2000,"WildcardCommon",200,3500,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Mirror",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,90000,"Cards",20,275000,"Gold",6000,455000,"Gems",150,
,,2,"TRUE","SpendElixir",,11,1100,"Gold",9000,3200,"WildcardEpic",20,5600,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Bomber",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,77500,"Cards",200,235000,"Gold",2000,390000,"Gems",150,
,,2,"TRUE","KillUnits",,10,280,"Gold",3000,800,"WildcardCommon",200,1400,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"IceGolemite",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,25000,"Cards",100,75000,"Gold",4000,125000,"Gems",150,
,,2,"TRUE","HitUnits","TID_MASTERY_TASK_HITUNITSDEATHDAMAGE",11,420,"Gold",6000,1200,"WildcardRare",100,2100,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"SpearGoblins",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,70000,"Cards",200,210000,"Gold",2000,350000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1550,"Gold",3000,4400,"WildcardCommon",200,7700,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Wallbreakers",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,60000,"Cards",20,180000,"Gold",6000,300000,"Gems",150,
,,2,"TRUE","HitTowers",,11,245,"Gold",9000,700,"WildcardEpic",20,1250,"Gold",15000,
,,3,"TRUE","HitUnitsSingleDeploy","TID_MASTERY_TASK_HITUNITSSINGLEDEPLOY_WALLBREAKERS",14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,1
"BarbLog",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,80000,"Cards",20,240000,"Gold",6000,400000,"Gems",150,
,,2,"TRUE","KillUnits",,11,280,"Gold",9000,800,"WildcardEpic",20,1400,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Snowball",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,36000,"Cards",200,110000,"Gold",2000,180000,"Gems",150,
,,2,"TRUE","HitUnits",,10,490,"Gold",3000,1400,"WildcardCommon",200,2450,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Rage",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","EnrageUnits",,9,600,"Cards",20,1800,"Gold",6000,3000,"Gems",150,
,,2,"TRUE","BuffedUnitsDealDamage","TID_MASTERY_TASK_ENRAGEDUNITSDEALDAMAGE",11,425000,"Gold",9000,1220000,"WildcardEpic",20,2140000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Archer",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,105000,"Cards",200,320000,"Gold",2000,530000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1750,"Gold",3000,5000,"WildcardCommon",200,8750,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Assassin",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,160000,"Cards",2,475000,"Gold",8000,790000,"Gems",150,
,,2,"TRUE","HitAnythingWithCharge",,12,280,"Gold",12000,800,"WildcardLegendary",2,1400,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"BlowdartGoblin",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,145000,"Cards",100,435000,"Gold",4000,730000,"Gems",150,
,,2,"TRUE","HitUnits",,11,1400,"Gold",6000,4000,"WildcardRare",100,7000,"Gold",9000,
,,3,"TRUE","AttackSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,10
"ElixirGolem",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,110000,"Cards",100,325000,"Gold",4000,540000,"Gems",150,
,,2,"TRUE","HitTowers",,11,2100,"Gold",6000,6000,"WildcardRare",100,11000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Firecracker",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,185000,"Cards",200,550000,"Gold",2000,920000,"Gems",150,
,,2,"TRUE","HitUnitsAndBuildings",,10,5600,"Gold",3000,16000,"WildcardCommon",200,28000,"Gold",5000,
,,3,"TRUE","AttackSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,8
"GoblinGang",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,85000,"Cards",200,255000,"Gold",2000,425000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1750,"Gold",3000,5000,"WildcardCommon",200,8750,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"SkeletonWarriors",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,105000,"Cards",20,310000,"Gold",6000,520000,"Gems",150,
,,2,"TRUE","ReceiveDamageIncludingOverkill",,11,495000,"Gold",9000,1420000,"WildcardEpic",20,2480000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"IceWizard",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,97500,"Cards",2,295000,"Gold",8000,490000,"Gems",150,
,,2,"TRUE","DebuffUnits","TID_MASTERY_TASK_FREEZEUNITS",12,840,"Gold",12000,2400,"WildcardLegendary",2,4200,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"Knight",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,77500,"Cards",200,230000,"Gold",2000,385000,"Gems",150,
,,2,"TRUE","ReceiveHits",,10,2800,"Gold",3000,8000,"WildcardCommon",200,14000,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"MegaMinion",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,125000,"Cards",100,380000,"Gold",4000,640000,"Gems",150,
,,2,"TRUE","KillUnits",,11,350,"Gold",6000,1000,"WildcardRare",100,1750,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Minions",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,105000,"Cards",200,310000,"Gold",2000,520000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1400,"Gold",3000,4000,"WildcardCommon",200,7000,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Ghost",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,130000,"Cards",2,395000,"Gold",8000,660000,"Gems",150,
,,2,"TRUE","SneakAttack",,12,350,"Gold",12000,1000,"WildcardLegendary",2,1750,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"SkeletonBalloon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,75000,"Cards",200,220000,"Gold",2000,370000,"Gems",150,
,,2,"TRUE","HitTowers",,10,1400,"Gold",3000,4000,"WildcardCommon",200,7000,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Cannon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,67500,"Cards",200,200000,"Gold",2000,335000,"Gems",150,
,,2,"TRUE","KillUnits",,10,210,"Gold",3000,600,"WildcardCommon",200,1050,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Tombstone",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","SpawnUnits",,8,1700,"Cards",100,5100,"Gold",4000,8500,"Gems",150,
,,2,"TRUE","DealDamage","TID_MASTERY_TASK_DEALDAMAGE_GRAVEYARD_TOMBSTONE",11,97500,"Gold",6000,275000,"WildcardRare",100,485000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Clone",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","CloneUnits",,9,400,"Cards",20,1200,"Gold",6000,2000,"Gems",150,
,,2,"TRUE","DealDamage",,11,140000,"Gold",9000,395000,"WildcardEpic",20,690000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Tornado",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,70000,"Cards",20,210000,"Gold",6000,350000,"Gems",150,
,,2,"TRUE","HitUnits",,11,1350,"Gold",9000,3800,"WildcardEpic",20,6650,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"BattleRam",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,85000,"Cards",100,255000,"Gold",4000,425000,"Gems",150,
,,2,"TRUE","HitTowers",,11,490,"Gold",6000,1400,"WildcardRare",100,2450,"Gold",9000,
,,3,"TRUE","HitAnythingWithCharge",,14,500,"CosmeticsToken",100,1500,"CosmeticsToken",125,2500,"CosmeticsToken",150,
"DarkPrince",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,165000,"Cards",20,490000,"Gold",6000,820000,"Gems",150,
,,2,"TRUE","HitAnythingWithCharge",,11,280,"Gold",9000,800,"WildcardEpic",20,1400,"Gold",15000,
