"Name","Trophies","ItemSWF","ItemExportName","Align","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable"
,1900,"sc/ui_trophy_road_milestones.sc","tr_6_6","left",1500,,,"Gold",,,,,,
,1950,"sc/ui_trophy_road_milestones.sc","tr_6_7","right",1,,,,"Legendary",,,,,
,2050,"sc/ui_trophy_road_milestones.sc","tr_7_1","right",50,"RoyalGiant","RoyalRecruits",,,,,,,
,2100,"sc/ui_trophy_road_milestones.sc","tr_7_2","left",1,,,,"Gold_Arena7",,,,,
,2150,"sc/ui_trophy_road_milestones.sc","tr_7_3","right",10,"ThreeMusketeers","RoyalHogs",,,,,,,
,2200,"sc/ui_trophy_road_milestones.sc","tr_7_4","left",1,,,,,15,2,,,
,2250,"sc/ui_trophy_road_milestones.sc","tr_7_5","right",2,,,,,,,,,"WildcardEpic"
,2350,"sc/ui_trophy_road_milestones.sc","tr_8_1","right",50,"IceSpirits","Snowball",,,,,,,
,2400,"sc/ui_trophy_road_milestones.sc","tr_8_2","left",1,,,,"Epic_Arena8",,,,,
,2450,"sc/ui_trophy_road_milestones.sc","tr_8_3","right",10,,,,,,,,,"WildcardRare"
,2500,"sc/ui_trophy_road_milestones.sc","tr_8_4","left",1750,,,"Gold",,,,,,
,2550,"sc/ui_trophy_road_milestones.sc","tr_8_5","right",2,"Freeze","Lightning",,,,,,,
,2650,"sc/ui_trophy_road_milestones.sc","tr_9_1","right",50,,,,,,,,,"WildcardCommon"
,2700,"sc/ui_trophy_road_milestones.sc","tr_9_2","left",1,,,,"Gold_Arena9",,,,,
,2750,"sc/ui_trophy_road_milestones.sc","tr_9_3","right",10,"BlowdartGoblin","GoblinHut",,,,,,,
,2800,"sc/ui_trophy_road_milestones.sc","tr_9_4","left",2000,,,"Gold",,,,,,
,2850,"sc/ui_trophy_road_milestones.sc","tr_9_5","right",2,"GoblinGiant","Poison",,,,,,,
,2900,"sc/ui_trophy_road_milestones.sc","tr_9_6","left",50,,,"Diamonds",,,,,,
,2950,"sc/ui_trophy_road_milestones.sc","tr_9_7","right",1,,,,"Giant_Arena9",,,,,
,3050,"sc/ui_trophy_road_milestones.sc","tr_10_1","right",50,"AngryBarbarians","MinionHorde",,,,,,,
,3100,"sc/ui_trophy_road_milestones.sc","tr_10_2","left",1,,,,"Shop_Small_1_Arena_L",,,,,
,3150,"sc/ui_trophy_road_milestones.sc","tr_10_3","right",10,,,,,,,,,"WildcardRare"
,3200,"sc/ui_trophy_road_milestones.sc","tr_10_4","left",2250,,,"Gold",,,,,,
,3250,"sc/ui_trophy_road_milestones.sc","tr_10_5","right",2,"Golem","Hunter",,,,,,,
,3300,"sc/ui_trophy_road_milestones.sc","tr_10_6","left",2500,,,"Gold",,,,,,
,3350,"sc/ui_trophy_road_milestones.sc","tr_10_7","right",1,,,,"Magic_Arena_L",,,,,
,3450,"sc/ui_trophy_road_milestones.sc","tr_11_1","right",50,"ElectroSpirit","Tesla",,,,,,,
,3500,"sc/ui_trophy_road_milestones.sc","tr_11_2","left",1,,,,"Shop_Small_1_Arena_Electric",,,,,
,3550,"sc/ui_trophy_road_milestones.sc","tr_11_3","right",10,,,,,,,,,"WildcardRare"
,3600,"sc/ui_trophy_road_milestones.sc","tr_11_4","left",2750,,,"Gold",,,,,,
,3650,"sc/ui_trophy_road_milestones.sc","tr_11_5","right",2,"ElectroGiant","ElectroDragon",,,,,,,
,3700,"sc/ui_trophy_road_milestones.sc","tr_11_6","left",3000,,,"Gold",,,,,,
,3750,"sc/ui_trophy_road_milestones.sc","tr_11_7","right",1,,,,"Epic_Arena_Electric",,,,,
,3850,"sc/ui_trophy_road_milestones.sc","tr_12_1","right",50,,,,,,,,,"WildcardCommon"
,3900,"sc/ui_trophy_road_milestones.sc","tr_12_2","left",3250,,,"Gold",,,,,,
,3950,"sc/ui_trophy_road_milestones.sc","tr_12_3","right",10,"BombTower","Earthquake",,,,,,,
,4000,"sc/ui_trophy_road_milestones.sc","tr_12_4","left",1,,,,,18,3,,,
,4050,"sc/ui_trophy_road_milestones.sc","tr_12_5","right",2,"SkeletonWarriors","Mirror",,,,,,,
,4100,"sc/ui_trophy_road_milestones.sc","tr_12_6","left",3500,,,"Gold",,,,,,
,4150,"sc/ui_trophy_road_milestones.sc","tr_12_7","right",1,,,,"Shop_Large_Legendary_Arena_T",,,,,
,4250,"sc/ui_trophy_road_milestones.sc","tr_13_1","right",100,"Rascals","SkeletonBalloon",,,,,,,
,4300,"sc/ui_trophy_road_milestones.sc","tr_13_10","left",1,,,,"Shop_Small_1_Arena13",,,,,
,4350,"sc/ui_trophy_road_milestones.sc","tr_13_9","right",3750,,,"Gold",,,,,,
,4400,"sc/ui_trophy_road_milestones.sc","tr_13_4","left",15,"Heal","Elixir Collector",,,,,,,
,4450,"sc/ui_trophy_road_milestones.sc","tr_13_5","right",4000,,,"Gold",,,,,,
,4500,"sc/ui_trophy_road_milestones.sc","tr_13_6","left",5,,,,,,,,,"WildcardEpic"
,4550,"sc/ui_trophy_road_milestones.sc","tr_13_7","right",1,,,,"Giant_Arena13",,,,,
,4650,"sc/ui_trophy_road_milestones.sc","tr_14_1","right",100,,,,,,,,,"WildcardCommon"
,4700,"sc/ui_trophy_road_milestones.sc","tr_14_8","left",1,,,,,110,0,,,
,4750,"sc/ui_trophy_road_milestones.sc","tr_14_5","right",4250,,,"Gold",,,,,,
,4800,"sc/ui_trophy_road_milestones.sc","tr_14_4","left",15,"ElixirGolem","BarbarianHut",,,,,,,
,4850,"sc/ui_trophy_road_milestones.sc","tr_14_5","right",4500,,,"Gold",,,,,,
,4900,"sc/ui_trophy_road_milestones.sc","tr_14_6","left",5,"Rage","AxeMan",,,,,,,
,4950,"sc/ui_trophy_road_milestones.sc","tr_14_7","right",1,,,,,,,,,"WildcardLegendary"
