"Name","Location","PredefinedDeck","Trophies","ManaRegenMs","ManaRegenMsEnd","ManaRegenMsOvertime","ExpLevel","CanReplay","TID","Seed","FullDeckNotNeeded","ManaReserve","StartingMana","WizardHpMultiplier","StartTaunt","OwnTowerDestroyedTaunt","HighlightTargetsOnManaFull","TrainingMatchAllowed"
"Npc23","TrainingCamp","BasicDeck23",1700,28000,14000,14000,14,"true","TID_NPC_23",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc24","TrainingCamp","BasicDeck24",1800,28000,14000,14000,14,"true","TID_NPC_24",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc25","TrainingCamp","BasicDeck25",1900,28000,14000,14000,14,"true","TID_NPC_25",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc26","TrainingCamp","BasicDeck26",2000,28000,14000,14000,14,"true","TID_NPC_26",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc27","TrainingCamp","BasicDeck27",2100,28000,14000,14000,14,"true","TID_NPC_27",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc28","TrainingCamp","BasicDeck28",2200,28000,14000,14000,18,"true","TID_NPC_28",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc29","TrainingCamp","BasicDeck29",2300,28000,14000,14000,18,"true","TID_NPC_29",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc30","TrainingCamp","BasicDeck30",2400,28000,14000,14000,18,"true","TID_NPC_30",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc31","TrainingCamp","BasicDeck31",2500,28000,14000,14000,18,"true","TID_NPC_31",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc32","TrainingCamp","BasicDeck32",2600,28000,14000,14000,18,"true","TID_NPC_32",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc33","TrainingCamp","BasicDeck33",2700,28000,14000,14000,22,"true","TID_NPC_33",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc34","TrainingCamp","BasicDeck34",2800,28000,14000,14000,22,"true","TID_NPC_34",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc35","TrainingCamp","BasicDeck35",2900,28000,14000,14000,22,"true","TID_NPC_35",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc36","TrainingCamp","BasicDeck36",3000,28000,14000,14000,26,"true","TID_NPC_36",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc37","TrainingCamp","BasicDeck37",3100,28000,14000,14000,26,"true","TID_NPC_37",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc38","TrainingCamp","BasicDeck38",3200,28000,14000,14000,26,"true","TID_NPC_38",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc39","TrainingCamp","BasicDeck39",3300,28000,14000,14000,26,"true","TID_NPC_39",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc40","TrainingCamp","BasicDeck40",3400,28000,14000,14000,26,"true","TID_NPC_40",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc41","TrainingCamp","BasicDeck41",3500,28000,14000,14000,26,"true","TID_NPC_41",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc42","TrainingCamp","BasicDeck42",3600,28000,14000,14000,30,"true","TID_NPC_42",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc43","TrainingCamp","BasicDeck43",3700,28000,14000,14000,30,"true","TID_NPC_43",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc44","TrainingCamp","BasicDeck44",3800,28000,14000,14000,30,"true","TID_NPC_44",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc45","TrainingCamp","BasicDeck45",3900,28000,14000,14000,34,"true","TID_NPC_45",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc46","TrainingCamp","BasicDeck46",4000,28000,14000,14000,34,"true","TID_NPC_46",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc47","TrainingCamp","BasicDeck47",4300,28000,14000,14000,34,"true","TID_NPC_47",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc48","TrainingCamp","BasicDeck48",4600,28000,14000,14000,34,"true","TID_NPC_48",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc49","TrainingCamp","BasicDeck49",5000,28000,14000,14000,34,"true","TID_NPC_49",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc50","TrainingCamp","BasicDeck50",5300,28000,14000,14000,34,"true","TID_NPC_50",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc51","TrainingCamp","BasicDeck51",5600,28000,14000,14000,34,"true","TID_NPC_51",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc52","TrainingCamp","BasicDeck52",6000,7000,7000,7000,38,"true","TID_NPC_52",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc53","TrainingCamp","BasicDeck53",6400,6000,6000,6000,38,"true","TID_NPC_53",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc1_2","FirstMatch","BasicDeck1",0,120000,120000,120000,1,"true","TID_NPC_1",2,"true",,1,40,,"NPC1_Tower","TRUE",
"Npc2_2","FirstMatch","BasicDeck2",0,120000,120000,120000,1,"true","TID_NPC_2",3,"true",,1,60,"NPC2_Start","NPC2_Tower",,
"Npc3_2","FirstMatch","BasicDeck3",0,100000,100000,100000,1,"true","TID_NPC_3",1,"true",,1,60,"NPC3_Start","NPC3_Tower",,
"Npc4_2","TrainingCamp","BasicDeck5",0,60000,30000,30000,1,"true","TID_NPC_4",,"true",,3,80,"NPC4_Start","NPC4_Tower",,
"Npc5_2","TrainingCamp","BasicDeck7",0,50000,25000,25000,1,"true","TID_NPC_5",,"true",,5,,"NPC4_Start","NPC4_Tower",,
"NpcAITest","TrainingCamp","DeckAITest",2900,28000,14000,14000,22,"true","TID_NPC_35",,"true",,,,"NPC4_Start","NPC4_Tower",,
"BoatAttackNPC","PvP_clanboat_arena",,,,,,1,"true",,,,,,,"NPC4_Start","NPC4_Tower",,
"TutorialNPC_1_1","FirstMatch","BasicDeck2",0,120000,120000,120000,1,"true","TID_NPC_1",2,"true",,1,20,"NPC2_Start","NPC1_Tower","TRUE",
"TutorialNPC_1_2","FirstMatch","BasicDeck3",0,100000,100000,100000,1,"true","TID_NPC_2",1,"true",,1,30,"NPC3_Start","NPC2_Tower",,
"TutorialNPC_1_3","FirstMatch","TutorialDeck7",0,100000,100000,100000,1,"true","TID_NPC_3",4,"true",,1,40,"NPC4_Start","NPC3_Tower",,
"Npc_Cheddar_easteregg","TrainingCamp","Trainer_Cheddar_EasterEgg_Deck",6000,28000,14000,14000,38,"true","TID_NPC_CHEDDAR_EASTEREGG",,"true",,-1,400,"NPC_Cheddar_Start","NPC_Cheddar_Tower",,
