"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","Sound","ExtraTimeMusic","WinCondition","EndScreenDelay","FileName","TileDataFileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudRandomFlip","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount","WalkEffect","WalkEffectOvertime","LoopingEffectRegularTime","LoopingEffectFinalMinute","LoopingEffectOvertime","LoopingEffect","LoopingEffectOvertimeSide","ReflectionRed","ReflectionGreen","ReflectionBlue","ChainedSWF","ChainedExportName","MusicOverride"
"TeamVsTeam_barbarian",,"true",,,100,50,100,100,"Barbarian_arena_start","Sudden_death","Normal",4000,"locations/barbarian_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"TeamVsTeam_bone",,"true",50,10,,55,100,144,"Bone_pit_arena_start","Sudden_death","Normal",4000,"locations/bone_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"TeamVsTeam_dark",,"true",50,10,,55,100,100,"Dark_arena_start","Sudden_death","Normal",4000,"locations/dark_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true",,,"true",,,,,,,,,,,,,,,,,,,,
"TeamVsTeam_spell",,"true",,,100,50,100,100,"Spell_arena_start","Sudden_death","Normal",4000,"locations/spell_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"TeamVsTeam_builder",,"true",,,100,50,100,100,"Builder_arena_start","Sudden_death","Normal",4000,"locations/builder_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,4,9,5,,,,,,,,,,,,,
"TeamVsTeam_ice",,"true",122,132,224,60,100,200,"Ice_arena_start","Sudden_death","Normal",4000,"locations/ice_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,,,,,,,"ice_arena_snow",,,,,,,
"TeamVsTeam_jungle",,"true",122,132,224,60,100,200,"Jungle_arena_start","Sudden_death","Normal",4000,"locations/jungle_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,,,"jungle_arena_walk_splash",,,"jungle_arena_rain",,,,,,,,
"TeamVsTeam_champion",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death","Normal",4000,"locations/champion_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",70,110,25,80,15,15,5,,,,,,,"legendary_arena_loop",24,20,20,,,
"PvP_touchdown",,"true",,,100,50,100,100,"match start","Sudden_death","Normal",4000,"locations/touchdown_arena.csv","tilemaps/tilemap_touchdown.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,,,,,,,,,,,,,,
"TeamVsTeam_touchdown",,"true",,,100,25,100,100,"match start","Sudden_death","Normal",4000,"locations/touchdown_arena.csv","tilemaps/tilemap_touchdown_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","touchdown_blimp_01",,85,105,40,80,10,10,1,,,,"legendary_arena_loop",,,"legendary_arena_loop",,,,,,
"PvP_electric",,"true",,,100,50,100,100,"Electric_arena_start","Sudden_death","Normal",4000,"locations/electric_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,,,,,,,,,,,,,,
"TeamVsTeam_electric",,"true",,,100,50,100,100,"Electric_arena_start","Sudden_death","Normal",4000,"locations/electric_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_koth",,"true",,,100,50,100,100,"match start","Sudden_death","Normal",4000,"locations/electric_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"TeamVsTeam_koth",,"true",,,100,25,100,100,"match start","Sudden_death","Normal",4000,"locations/electric_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_koth2",,"true",,,100,50,100,100,"match start","Sudden_death","Normal",4000,"locations/electric_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_clanwar",,"true",,,100,50,100,100,"match start","Sudden_death","Normal",4000,"locations/clan_arena_t2.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"TeamVsTeam_training_camp","true",,,,100,60,100,100,"Tut_jing_start","60sec_training","Normal",4000,"locations/training_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1","true",54,114,25,154,7,10,4,,,,,,,,,,,,,
"PvP_clan_t1",,"true",,,100,50,100,100,"cw_ar_jing","Sudden_death","Normal",4000,"locations/clan_arena_t1.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_clan_t2",,"true",,,100,50,100,100,"cw_ar_jing","Sudden_death","Normal",4000,"locations/clan_arena_t2.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_clan_t3",,"true",,,100,50,100,100,"cw_ar_jing","Sudden_death","Normal",4000,"locations/clan_arena_t3.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_clan_t4",,"true",,,100,50,100,100,"cw_ar_jing","Sudden_death","Normal",4000,"locations/clan_arena_t4.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"ThreeVsThree_royal",,"true",,,100,50,100,100,"match start","Sudden_death","Normal",4000,"locations/royal_arena_3v3.csv","tilemaps/tilemap_3v3.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_spooky",,"true",122,132,224,60,100,200,"Spooky_arena_start","Sudden_death","Normal",4000,"locations/spooky_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,3,,,"jungle_arena_rain",,"spooky_ghost_glow",,,,,,,,
"TeamVsTeam_spooky",,"true",122,132,224,60,100,200,"Spooky_arena_start","Sudden_death","Normal",4000,"locations/spooky_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,3,,,"jungle_arena_rain",,"spooky_ghost_glow",,,,,,,,
"Obstacles_Bushes",,"true",,30,,55,100,200,"Goblin_arena_start","Sudden_death","Normal",4000,"locations/barbarian_arena.csv","tilemaps/tilemap_bushes.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,,,,,,,,
"PvP_boat",,"true",122,132,224,60,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/boat_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_boat",,"true",122,132,224,60,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/boat_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_flood",,"true",122,132,224,60,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/flood_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",185,200,25,83,9,11,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_boat_2",,"true",122,132,224,60,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/boat_arena_2.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_boat_2",,"true",122,132,224,60,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/boat_arena_2v2_2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_halloween",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death","Normal",4000,"locations/halloween_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",70,110,25,80,15,15,5,,,,,,,"legendary_arena_loop",24,20,20,,,
"TeamVsTeam_halloween",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death","Normal",4000,"locations/champion_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",70,110,25,80,15,15,5,,,,,,,"legendary_arena_loop",24,20,20,,,
"PvP_goblin_party",,"true",122,132,224,69,100,200,"Hog_arena_start","Sudden_death","Normal",4000,"locations/goblin_party_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",1,1,25,80,15,1,5,,,,,,,"legendary_arena_loop",24,20,20,,,
"TeamVsTeam_goblin_party",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death","Normal",4000,"locations/goblin_party_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",70,110,25,80,15,15,5,,,,,,,"legendary_arena_loop",24,20,20,,,
"PvP_holiday_arena",,"true",122,132,224,66,100,200,"Holiday_arena_start","Sudden_death","Normal",4000,"locations/holiday_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,"ice_arena_snow","legendary_arena_loop",,,,,,
"TeamVsTeam_holiday_arena",,"true",122,132,224,60,100,200,"Holiday_arena_start","Sudden_death","Normal",4000,"locations/holiday_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",70,110,25,80,15,15,5,,,,,,"ice_arena_snow","legendary_arena_loop",,,,,,
"PvP_lunar_arena",,"true",174,132,180,58,100,200,"Lunar_arena_start","Sudden_death","Normal",4000,"locations/lunar_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",103,102,258,254,14,13,,,,,,,"ice_arena_snow","legendary_arena_loop",,,,,,
"TeamVsTeam_lunar_arena",,"true",122,132,224,60,100,200,"Lunar_arena_start","Sudden_death","Normal",4000,"locations/lunar_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,"ice_arena_snow","legendary_arena_loop",,,,,,
"PvP_cake_arena",,"true",216,206,255,88,100,200,"Cake_arena_start","Sudden_death","Normal",4000,"locations/cake_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",99,100,245,247,20,23,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_cake_arena",,"true",174,132,180,58,100,200,"Cake_arena_start","Sudden_death","Normal",4000,"locations/cake_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_heist_arena",,"true",174,132,180,75,100,200,"Legendary_arena_start","Sudden_death","Normal",4000,"locations/heist_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",102,101,253,227,24,1,10,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_heist_arena",,"true",174,132,180,75,100,200,"Legendary_arena_start","Sudden_death","Normal",4000,"locations/heist_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_dragon_arena",,"true",216,206,255,88,100,200,"Legendary_arena_start","Sudden_death","Normal",4000,"locations/dragon_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",99,100,245,247,20,23,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_dragon_arena",,"true",174,132,180,58,100,200,"Legendary_arena_start","Sudden_death","Normal",4000,"locations/dragon_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_dream_arena",,"true",45,192,255,78,100,200,"Dream_arena_start","Sudden_death","Normal",4000,"locations/dream_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",100,100,248,249,11,11,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_dream_arena",,"true",174,132,180,58,100,200,"Dream_arena_start","Sudden_death","Normal",4000,"locations/dream_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_shipwreck_2",,"true",122,132,224,73,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/shipwreck_2_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"TeamVsTeam_shipwreck_2",,"true",122,132,224,73,100,200,"Boat_arena_start","Sudden_death","Normal",4000,"locations/shipwreck_2_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01","true",111,193,25,80,8,12,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_clanboat_arena",,"true",216,206,255,88,100,200,"sound_boat_pve_start","Sudden_death","Normal",4000,"locations/clanboat_arena.csv","tilemaps/tilemap_clan_boat_attack.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",99,100,245,247,20,23,,,,,,,,"legendary_arena_loop",,,,,,
"PvP_giant_arena",,"true",216,206,255,88,100,200,"Legendary_arena_start","Sudden_death","Normal",4000,"locations/giant_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",69,100,245,247,10,15,3,,,,,,,"legendary_arena_loop",,,,,,
"PvP_electric2",,"true",216,206,255,88,100,200,"Electric_arena_start","Sudden_death","Normal",4000,"locations/electric2_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",99,100,245,247,20,23,4,,"jungle_arena_walk_splash",,,"jungle_arena_rain",,,,,,,,
"TeamVsTeam_electric2",,"true",216,206,255,88,100,200,"Electric_arena_start","Sudden_death","Normal",4000,"locations/electric2_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1","true",1,1,1,1,1,1,,,"jungle_arena_walk_splash",,,"jungle_arena_rain",,,,,,,,
