"Name","Location","NPC","HandledOutsideManager","TID","ButtonTID","FinishRequirement","Chest","WaitTimeMS","FileName","PopupCorner","PopupExportName","BubbleExportName","Sound","Darkening","BubbleObject","OverlayExportName","SpellDragExportName","SpellToCast","ForceSpellTile","DisableOtherSpells","SpellTileX","SpellTileY","DisableSpells","HideCombatUI","DisableTroopMovement","DisableLeaderMovement","DisableSpawnPoints","DisableOpponentSpells","PauseCombat","Dependency","Priority","Taunt","HighlightTargetsOnManaFull","DisableBattleStartScreen","NpcMatchesPlayed","DisableBattleMenu","CloseAutomaticallyAfterSeconds","GroupMod","GroupValue","SkipCondition","OnlyForNewPlayers","DisableBattleButton"
"CW2_IntroWarGate","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_RACE_3",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_RACE_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_IntroTrader","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_INTRO_4",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_DeckIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_DECKS_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_DECKS_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_DeckAutofill","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_DECK_AUTOFILL",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_DefenseIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_BOATS_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_BOATS_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_BOATS_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_BOATS_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_AttackIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_ALL_PLAYERS_BOAT_ATTACK_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_ALL_PLAYERS_BOAT_ATTACK_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_FinalSegmentIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_COLOSSEUM_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_COLOSSEUM_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AskAgeDialog",,"Npc4_2",,"TID_TUTORIAL_ASK_AGE",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,"AskName2",5,,,,4,,,,,"AgeNotRequired","TRUE",
"AskAge",,"Npc4_2",,,,"EnterAge",,,,,,,,,,,,,,,,,,,,,,,,"AskAgeDialog",5,,,,4,,,,,"AgeNotRequired","TRUE",
"CW2_IntroDayExplanation","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_RACE_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_NEW_PLAYERS_RACE_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2_IntroRaceFinish","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_NEW_PLAYERS_RACE_5",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2OldPlr_Welcome","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_OLD_PLAYERS_WELCOME",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_OLD_PLAYERS_INTRO_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_OLD_PLAYERS_INTRO_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2OldPlr_IntroWarGate","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_OLD_PLAYERS_INTRO_3",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2OldPlr_IntroRaceFinish","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_OLD_PLAYERS_INTRO_4",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2OldPlr_DefenseIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_OLD_PLAYERS_BOAT_BATTLES_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_OLD_PLAYERS_BOAT_BATTLES_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW2OldPlr_FinalSegmentIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CW2_OLD_PLAYERS_COLOSSEUM_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CW2_OLD_PLAYERS_COLOSSEUM_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StarLevels_CardPopupIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_PRESTIGE_CARD_POPUP",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champions_CardPageIntro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_CHAMPIONS_INTRO1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CHAMPIONS_INTRO2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CHAMPIONS_INTRO3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_CHAMPIONS_INTRO4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tutorial_1_1_AskAge",,"TutorialNPC_1_1",,,,"EnterAge",,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,"AgeNotRequired","TRUE","TRUE"
"Tutorial_1_1_OpenChest",,"TutorialNPC_1_1",,,,"OpenChest","TutorialChest_1_1",,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_1_AskAge",7,,,,1,,,,,,,"TRUE"
"Tutorial_1_1_ClaimChest",,"TutorialNPC_1_1",,,,"ClaimChest","TutorialChest_1_1",,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_1_OpenChest",6,,,,1,,,,,,,"TRUE"
"Tutorial_1_1_UpgradeSpell",,"TutorialNPC_1_1",,,,"FuseSpell",,,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_1_ClaimChest",5,,,,1,,,,,,,"TRUE"
"Tutorial_1_1_StartBattle2",,"TutorialNPC_1_2",,,,"StartNPC",,,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_1_UpgradeSpell",4,,,,1,,,,,,,
"Tutorial_1_2_AskName",,"TutorialNPC_1_2",,,,"EnterName",,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,,"TRUE"
"Tutorial_1_2_OpenChest",,"TutorialNPC_1_2",,,,"OpenChest","TutorialChest_1_2",,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_2_AskName",5,,,,2,,,,,,,"TRUE"
"Tutorial_1_2_ClaimChest",,"TutorialNPC_1_2",,,,"ClaimChest","TutorialChest_1_2",,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_2_OpenChest",4,,,,2,,,,,,,"TRUE"
"Tutorial_1_3_StartBattle3",,"TutorialNPC_1_3",,,,"StartNPC",,,,,,,,,,,,,,,,,,,,,,,,"Tutorial_1_2_ClaimChest",2,,,,2,,,,,,,
"RankedMode_Intro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_RANKED_MODE_INTRO_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RankedMode_LeagueRoad_Intro","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_INTRO_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_INTRO_2",,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_INTRO_3",,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RankedMode_LeagueRoad_GoldenSteps","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_STEPS_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_STEPS_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_STEPS_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_STEPS_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RankedMode_LeagueRoad_ELO","TrainingCamp","Npc5_2","TRUE","TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_ELO_1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_ELO_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_ELO_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RankedMode_LeagueRoad_Start_Battle,TrainingCamp,Npc5_2,TRUE,TID_TUTORIAL_RANKED_MODE_LEAGUEROAD_START_BATTLE_1,,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,sound_tutorial_first_vo,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
