"Name","Rarity","TID","IconFileName","IconExportName","NoEffectToCrownTowers","BuildingDamagePercent","CrownTowerDamagePercent","DamagePerSecond","HitFrequency","DamageReduction","HealPerSecond","HitSpeedMultiplier","SpeedMultiplier","SpawnSpeedMultiplier","Invisible","RemoveOnAttack","RemoveOnHeal","RemoveOnHit","DamageOnHit","DamageMultiplier","Effect","FilterFile","FilterExportName","FilterAffectsTransformation","FilterInheritLifeDuration","IgnorePushBack","MarkEffect","AudioPitchModifier","Portal","AttractMinAngle","AttractMaxAngle","AttractPercentage","LateralPushPercentage","PushMassFactor","PushSpeedFactor","ControlledByParent","Clone","Scale","EnableStacking","ChainedBuff","ChainedBuffTime","ContinuousEffect","Charge","SpawnStartTime","SpawnNumber","SpawnInterval","SpawnPauseTime","SpawnObject","SpawnLimit","SpawnLevelIndex","HitpointMultiplier","Shield","Jump","Projectile","ProjectileEffect","RemoveEffect","OverrideProjectile","HitTickFromSource","MorphTarget","DeathSpawn","DeathSpawnIsEnemy","DeathSpawnCount","DeathSpawnDeployDelay","IgnoreBuildings","LockTarget","Rally","NotCloned","LevelIncrease","ApplyFear","SwitchTeam","SwitchTeamContinuosEffect"
"LevelUp","Epic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"TripleDamage","Champion","TID_SPELL_RAGE",,,,,,,,,,,,,,"TRUE",,,,300,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShieldBoostMonk","Champion",,,,,,,,,80,,,,,,,,,,,,"sc/effects.sc","filter_shield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ContinueFreeze","Epic","TID_SPELL_FREEZE",,,,,,,,,,-100,-100,-100,,,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ElectroGiantZapFreeze","Common","TID_SPELL_ZAP_FREEZE",,,,,-70,,,,,-100,-100,-100,,,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrowthBoost","Epic",,,,,,,,,,,,,,,,,,,120,"Spell_rage_hit_effect","sc/effects.sc","filter_growth",,,,"Healing",85,,,,,,,,,,130,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
"ShieldBoost","Epic",,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","filter_shield",,,,,,,,,,,,,,,,,,,"shield",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"DummyCollisionBoostEpic","Epic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FireballProjectile","Epic",,,,,,,,,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FireballSpell",,,,,,,,,,,,,,
"DropBomb","Common",,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,,"CommonBomb",1,5,,,,,,,,,,,,,,,,,,,,,
"HealSpiritBuff","Rare",,,,,,,,250,,189,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE5","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE6","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperArcherTornado","Legendary",,,,,,-50,200,500,,,,,,,,,,,,,,,,,,,,,0,90,450,,,120,"true",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueenRapid","Champion",,,,,,,,,,,280,-25,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,"archer_queen_ghost_aura",,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,
"PancakesCurse","Rare",,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","filter_mw_curse",,,,,,,,,,,,,,,,"TRUE",,,"motherwitch_curse_cont_effect",,,,,,,,,,,,,,,,,,"SuperMiniPekkaPancakes","true",1,"true","true",,,,,,,
"BattleHealerSelf","Rare",,,,,,,,500,,16,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,,,,"healer_heal_effect",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VoodooCurse","Legendary",,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","filter_mw_curse",,,,,,,,,,,,,,,,"TRUE",,,"motherwitch_curse_cont_effect",,,,,,,,,,,,,,,,,,"VoodooHog","true",1,"true","true",,,,,,,
"BattleHealerAll","Rare",,,,,,,,250,,48,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperRage","Epic","TID_SPELL_RAGE",,,,,,,,,,170,170,170,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HealModeHeal","Rare",,,,,,,,1000,,20,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE7","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperMiniPekkaPancakesHeal","Rare",,,,,,,,250,,100,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE8","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE9","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InvisibilityTemp","Epic",,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,"ghost_aura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE10","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
