"Name","Rarity","Flags","Tribe","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","LoadAfterRetarget","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","Range","MinimumRange","SpecialMinRange","SpecialRange","SpecialLoadTime","SpecialReadyEffect","SpecialIgnoreBuildings","SpecialAttacksToIgnoreList","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","MeleePushback","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","TargetOnlyTroops","TargetOnlyTowers","TargetOnlyKingTower","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","Mesh","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","PrestigeSWF","PrestigeExportName","PrestigeExportName2","PrestigeExportName3","PrestigeRedExportName","PrestigeRedExportName2","PrestigeRedExportName3","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","LoopMoveEffect","SpawnEffect","SpawnEffectOnce","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","ShadowCustomLow","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","Hovering","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","AttackStartEffectSpecial","DashImmuneToDamageTime","DashStartEffect","DashEffect","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","DashFilter","DashConstantTime","DashLandingTime","LandingEffect","DashMinRange","DashMaxRange","DashDistance","DashOnlyOnce","DashingDamage","DashingPushback","DashToTargetRadius","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","DestroyAtLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnCharacterLevelIndex2","SpawnCharacter2","SpawnCharacterLevelIndex3","SpawnCharacter3","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","SpawnRadius","SpawnAttach","SpawnAttachMaxRotation","DeathSpawnDeployBaseAnim","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnCount2","DeathSpawnCharacter2","DeathSpawnCharacter3","DeathSpawnIsSameUnit","RandomizeDeathSpawn","DeathSpawnProjectile","DeathSpawnRadius","DeathSpawnMinRadius","SpawnAngleShift","SpawnMaxAngle","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","HideBeforeFirstHit","SpecialAttackWhenHidden","TargetedHitEffect","TargetedHitEffectSpecial","TargetedEffectVisualPushback","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","ManaOnDeath","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","DeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed","DeployTimerDelay","RetargetEachTick","RetargetAfterAttack","AttackShakeTime","VisualHitSpeed","Burst","BurstDelay","BurstKeepTarget","BurstAffectAnimation","ActivationTime","AttackDashTime","LoopingFilter","BuildingTarget","SpawnConstPriority","BuffWhenNotAttacking","BuffWhenNotAttackingTime","BuffWhenNotAttackingEffect","BuffWhenNotAttackingRemoveEffect","AreaEffectOnHit","AttackStateDamage","AttackStateEffect","SpeedBeforeAttack","MoveEffect2","ReflectedAttackBuff","ReflectedAttackBuffDuration","ReflectedAttackRadius","ReflectedAttackDamage","ReflectedAttackEffect","ReflectedAttackTargetedEffect","ReflectedAttackTargetedEffectSources","IgnoreTargetsWithBuff","DeprioritizeTargetsWithBuff","OverrideAttackFinishTime","AttackFinishTime","BuffOnKill","BuffOnKillTime","BuffOn50HP","BuffOn50HPTime","BuffOnXHP","BuffOnXHPPercent","BuffOnXHPTime","SuckElixirSpeed","CapturableBuilding","SightRangeForCharacters","AttackStateCount","NeutralObject","BuffAfterHitsCount","BuffAfterHitsTime","BuffAfterHits","MorphAfterHitsCount","ConvertOnKill","FollowingAreaEffect","MoveSpeedByFriendlyMass","MoveRadiusByFriendlyMass","IgnoreBuff","TargetLowestHP","Ability"
"ElixirCollector","Rare",,,,1000,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,"sc/building_elixir_collector.sc","building_elixir_pump_blue",,"building_elixir_pump_red",,"sc/building_prestige_dl.sc",,"elixir_pump_prestige_blue",,,"elixir_pump_prestige_red",,,,,,,"elixircollector_die",,,"elixircollector_deploy",,,55,50,-15,,35,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_BUILDING_ELIXIR_COLLECTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xbow","Epic",,,11500,3500,,,1000,300,,,,,,,,,"xbow_projectile",,,,,11500,,,,,,,,"true",,,,,,,30000,,"XbowAttack",,,,,,,,,,,,,"sc/building_xbow.sc","building_xbow_attack1_1",,"building_xbow_red_attack1",,"sc/building_prestige_dl.sc",,"xbow_prestige","xbow_prestige2",,"xbow_red_prestige","xbow_red_prestige2",,,,,,"Cannon_die",,,"Xbow_deploy",,,80,80,,,35,,,,,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2400,,,,,,,"TID_BUILDING_XBOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tombstone","Rare",,,,1000,,,250,10000,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,40000,,,,,,,,,,,,,,,"sc/building_tombstone.sc","building_tombstone_blue",,"building_tombstone_red",,"sc/building_prestige_dl.sc",,"tombstone_prestige_blue","tombstone_prestige_blue",,"tombstone_prestige_red","tombstone_prestige_red",,,,,,"tombstone_die",,,"tombstone_deploy",,,90,60,-8,,5,,,,,100,1000,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3100,2,"Skeleton",,,,,,,,,,,,3,"Skeleton",,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_TOMBSTONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GiantSkeletonBomb","Epic",,,,3000,,,,,,,,100,,,,,,,,,,,,,,,,,,"true","true",3000,334,1800,,,,,,,,,,,,,,,,,,"sc/building_mega_bomb.sc","giant_skeleton_bomb_blue",,"giant_skeleton_bomb_red",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"MegaBombExplodeSkeleton",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,,100,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BalloonBomb","Epic",,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,"true","true",3000,150,,,,,,,,,,,,,,,,,,,"sc/building_mega_bomb.sc","giant_skeleton_bomb_blue",,"giant_skeleton_bomb_red",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"MegaBombExplodeSkeleton",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,,100,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FirespiritHut","Rare",,,,1000,,,480,7000,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,49000,,,,,,,,,,,,,,,"sc/building_firespirit_hut.sc","firespirit_hut_blue",,"firespirit_hut_red",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"goblin_hut_die",,,"Firespirit_building_spawn",,,90,60,-8,,5,,,,,95,1000,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7000,2,"FireSpirits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_FIRE_SPIRIT_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RageBarbarianBottle","Legendary",,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_rage_bottle.sc","rage_bottle_fall",,"rage_bottle_fall",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"rage_bottle_explode",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BarbarianRage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KingTowerMiddle","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_tower.sc",,,,,"sc/building_prestige_dl.sc",,,,,,,,,,,,"king_2v2_die",,,,,,102,60,-1,2,13,,,,,100,1400,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MagicBomb","Legendary",,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,1500,160,,,,,,,,,,,,,,,,,,,"sc/effects.sc","projectile_bomb_small",,"projectile_bomb_small",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"MagicBomb_projectile_hit",,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSEB1","Common",,,5500,1000,,,350,800,,,,,,,,,"TowerCannonball",,,,,5500,,,,,,,,"true",,,,,,,30000,,"cannon_fire_projectile",,,,,,,,,,,,,"sc/building_basic_cannon.sc","building_cannon",,"building_enemy_cannon",,,,,,,,,,,,,,"Cannon_die",,,"Cannon_deploy",,,90,-90,-7,10,10,,,,,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2500,,,,,,,"TID_BUILDING_CANNON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SkeletonContainer","Common",,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,"true","true",2000,52,1000,,,,,,,,,,,,,,,,,,"sc/chr_skeleton_balloon.sc","skeleton_balloon_barrel_drop",,"skeleton_balloon_barrel_drop",,"sc/chr_prestige_dl.sc",,"skeleton_balloon_prestige_barrel_drop","skeleton_balloon_prestige2_barrel_drop",,"skeleton_balloon_prestige_barrel_drop","skeleton_balloon_prestige2_barrel_drop",,,,,,"skeleton_container_explosion",,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Skeleton",,,,,,,1480,1480,,,500,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DummyKingTower","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_prestige_dl.sc",,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DummyKingTower2","Common",,,7000,,,,2400,1000,500,,,,,,,,"KingProjectile",,,,,7000,,,,,,,,"true","true",,,,,,,,"King_attack",,,,,,,,,,,,,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,"sc/building_prestige_dl.sc",,,,,,,,,2400,"musketeer_hit",,"King_player_die",,,,,,102,60,-6,2,13,,,,,100,1400,,2,,,,,,,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,3500,,,,,18,22,"TID_SPELL_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrincessTowerSwapping","Common",,,7500,,,,1400,800,,,,,,,,,"TowerPrincessProjectile",,,,,7500,,,,,,,,"true","true",,,,,,,,"ArcherTowerAttack",,,,,,,,,,,,,"sc/building_tower.sc","StarTower_base_blue","StarTower_top_blue","StarTower_base_red","StarTower_top_red","sc/building_prestige_dl.sc",,,,,,,,"TowerPrincess",2200,,,"TowerExplode",,,,,"true",102,70,-5,5,13,,,,,100,1000,,,,,,"Tower",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3000,,,,"true",,,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CaptureTower","Common",,,5500,,,,450,1000,300,90,,,,,,,,,,,,5500,,,,,,,,"true","true",,,,,,,,"ArcherTowerAttack",,,,,,,,,,,,,"sc/building_tower.sc","StarTower_base_blue",,"StarTower_base_red",,"sc/building_prestige_dl.sc",,,,,,,,"CaptureTowerTop",2200,"tesla_hit_effect",,"TowerExplode",,,,,"true",102,70,-5,5,13,,,,,100,1000,,,,,,"Tower",,"true",,,,,,,,,,,,,,"Tesla_beam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3000,,,,,,,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,"Tesla_beam",,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CaptureTowerTop","Common",,,5500,,,,700,800,,,,,,,,,,,,,,5500,,,,,,,,"true","true",,,,,,,,"ArcherTowerAttack",,,,,,,,,,,,,"sc/building_tesla.sc","tesla2_blue",,"tesla2_red",,"sc/building_prestige_dl.sc",,,,,,,"true",,,,,"TowerExplode",,,,,"true",102,70,-5,5,13,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,"Tesla_beam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3000,,,,,,,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GoblinCage","Rare",,,5000,1000,,,455,10000,,,,,,,,,,,,,,5000,,,,,,,,"true",,,,,,,20000,,,,,,,,,,,,,,,"sc/chr_goblin_thug_dl.sc","cage_goblin_blue",,"cage_goblin_red",,"sc/chr_goblin_thug_dl.sc",,"cage_goblin_prestige2_blue","cage_goblin_prestige3_blue",,"cage_goblin_prestige2_red","cage_goblin_prestige3_red",,,,,,"goblin_cage_die",,,"goblin_cage_deploy",,,90,60,-8,,5,,,,,100,1000,,,,,,"Medium",,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_miner",1,"GoblinBrawler",,,,,,,,,,,500,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GOBLINCAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObstacleBush","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/level_barbarian_arena.sc","barbarian_bush1x",,"barbarian_bush1x",,,,,,,,,,,,,,,,,,,,102,70,-5,5,13,,,,,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,
"NOTINUSEBK","Common",,,,1000,,,750,10000,,,,,,,,,,,,,,,,,,,,,,"true","true",,,,,,40000,,,,,,,,,,,,,,,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,,,,,,,,,,,,,"TowerExplode",,,,,,102,70,-5,5,13,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7000,,"Recruit",,"Archer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KingTower3","Common",,,7000,,,,3000,1000,500,,,,,,,,"KingProjectile",,,,,7000,,,,,,,,"true","true",,,,,,,,"King_attack",,,,,,,,,,,,,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,"sc/building_prestige_dl.sc",,,,,,,,,2400,"musketeer_hit",,"King_player_die",,,,,,102,60,-6,2,13,,,,,100,1400,,2,,,,"Summoner3",-27,"true",,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,3500,,,,,11,21,"TID_SPELL_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeistStorage","Common",,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_heist_safe_dl.sc","heist_safe_blue",,"heist_safe_red",,"sc/building_prestige_dl.sc",,,,,,,,,,,,"gold_tower_death2",,,,,,102,60,-1,2,13,,,,,100,1400,,2,,,,"Summoner",-15,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeistStorage3","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,60,-1,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostRage","Epic",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rage_bottle_explode",,,"boost_rage_spawn",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BoostRageBottle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostClone","Epic",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rage_bottle_explode",,,"boost_rage_spawn",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BoostCloneBottle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostSpearGoblins","Epic",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rage_bottle_explode",,,"boost_rage_spawn",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BoostSpearGoblins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostGrowth","Epic",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rage_bottle_explode",,,"boost_rage_spawn",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BoostGrowth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostHeal","Epic",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rage_bottle_explode",,,"boost_rage_spawn",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BoostHeal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
