"Name","CameraMode","CameraXOffset","CameraYOffset","EventTimeMS","EventType","EventParamInt1","EventParamInt2","EventParamString1"
"GoblinBarrel","Fixed",5000,6500,500,"Spawn",3500,6500,"GoblinBarrel"
,,,,7500,"KingCrying",,,
,,,,7500,"Spawn",3500,6000,"GoblinBarrel"
,,,,10250,"SpawnEnemy",3500,4000,"BarbLog"
,,,,13000,"Reset",,,
"Hunter","Normal",,-3000,500,"Spawn",3500,21500,"Hunter"
,,,,500,"SpawnEnemy",3500,14000,"HogRider"
,,,,5000,"SpawnEnemy",3500,12000,"Minions"
,,,,11250,"KingCrying",,,
,,,,11500,"SpawnEnemy",6000,8000,"Prince"
,,,,18000,"Reset",,,
"Skeletons","Normal",1000,2500,500,"SpawnEnemy",3500,14000,"Musketeer"
,,,,4250,"Spawn",3500,17000,"Skeletons"
,,,,9500,"Reset",,,
,,,,9750,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,12500,"Spawn",7500,18000,"Skeletons"
,,,,21500,"Reset",,,
"Bomber","Normal",,-3000,500,"Spawn",3500,21000,"Bomber"
,,,,1000,"SpawnEnemy",3500,14000,"Barbarians"
,,,,5750,"KingCrying",,,
,,,,6000,"SpawnEnemy",3500,13000,"Minions"
,,,,11500,"Reset",,,
"Valkyrie","Normal",,-3000,500,"Spawn",3500,17000,"Valkyrie"
,,,,1500,"SpawnEnemy",4500,14000,"SkeletonArmy"
,,,,6250,"KingCrying",,,
,,,,6500,"SpawnEnemy",6000,8500,"MiniPekka"
,,,,14000,"Reset",,,
"Tombstone","Normal",,2500,500,"SpawnEnemy",3500,14000,"Wallbreakers"
,,,,500,"Spawn",6000,22000,"Tombstone"
,,,,10000,"SpawnEnemy",3500,14000,"Prince"
,,,,12000,"Spawn",7000,22000,"Tombstone"
,,,,26500,"Reset",,,
"Witch","Normal",,-3000,500,"Spawn",7000,23000,"Witch"
,,,,500,"SpawnEnemy",3500,14000,"Prince"
,,,,15000,"CameraMode",,,"Fixed"
,,,,15000,"CameraOffset",3500,15000,
,,,,15000,"KingCrying",,,
,,,,16500,"SpawnEnemy",3500,14000,"Valkyrie"
,,,,22000,"Reset",,,
"GiantSkeleton","Fixed",5000,17500,500,"SpawnEnemy",3500,14000,"Barbarians"
,,,,500,"SpawnEnemy",3500,13000,"Witch"
,,,,3000,"Spawn",3500,20000,"GiantSkeleton"
,,,,14000,"Reset",,,
"Barbarians","Normal",,-2000,500,"Spawn",3500,20000,"Barbarians"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,9000,"SpawnEnemy",3500,11000,"BabyDragon"
,,,,9500,"KingCrying",,,
,,,,22000,"Reset",,,
"Cannon","Normal",2500,2000,500,"SpawnEnemy",6000,14000,"HogRider"
,,,,2000,"Spawn",9000,22000,"Cannon"
,,,,2500,"Spawn",7500,20000,"Skeletons"
,,,,5500,"CameraStop",,,
,,,,7000,"Reset",,,
,,,,7250,"SpawnEnemy",3500,14000,"Golem"
,,,,9000,"Spawn",9000,22000,"Cannon"
,,,,10500,"Spawn",8000,20000,"MiniPekka"
,,,,23000,"Reset",,,
"BarbarianHut","Normal",2000,2500,500,"SpawnEnemy",3500,14000,"Golem"
,,,,4500,"Spawn",8000,22000,"BarbarianHut"
,,,,11000,"CameraStop",,,
,,,,26000,"Reset",,,
"BattleRam","Normal",2000,-2500,500,"Spawn",3500,17000,"BattleRam"
,,,,9500,"Reset",,,
,,,,9500,"KingCrying",,,
,,,,9500,"Spawn",3500,17000,"BattleRam"
,,,,11500,"SpawnEnemy",7500,9000,"Tombstone"
,,,,15000,"CameraStop",,,
,,,,21000,"Reset",,,
,,,,21000,"KingCrying",,,
,,,,21250,"Spawn",3500,17000,"BattleRam"
,,,,24000,"SpawnEnemy",4000,9000,"Pekka"
,,,,31000,"Reset",,,
"BarbLog","Normal",,-1500,500,"SpawnEnemy",3500,14000,"GoblinGang"
,,,,1500,"Spawn",3500,17000,"BarbLog"
,,,,9500,"Reset",,,
,,,,9500,"CameraOffset",,2000,
,,,,9750,"SpawnEnemy",3500,14000,"Musketeer"
,,,,11500,"Spawn",3500,21000,"BarbLog"
,,,,17000,"Reset",,,
,,,,17250,"SpawnEnemy",3500,14000,"Giant"
,,,,18500,"SpawnEnemy",3500,12000,"Archer"
,,,,21000,"Spawn",3500,21000,"BarbLog"
,,,,27500,"Reset",,,
"Golem","Normal",1000,-2000,500,"Spawn",3500,17000,"Golem"
,,,,2000,"Spawn",3500,20000,"Prince"
,,,,5000,"SpawnEnemy",5000,9000,"MiniPekka"
,,,,16500,"Reset",,,
,,,,16500,"KingCrying",,,
,,,,16750,"Spawn",3500,17000,"Golem"
,,,,20000,"SpawnEnemy",7000,10000,"InfernoTower"
,,,,35000,"Reset",,,
"MinionHorde","Normal",1500,-3000,500,"Spawn",3500,23000,"MinionHorde"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,7000,"SpawnEnemy",2000,7000,"BabyDragon"
,,,,7500,"KingCrying",,,
,,,,13000,"CameraStop",,,
,,,,17000,"Reset",,,
"Zap","Normal",1000,2000,500,"SpawnEnemy",3500,14000,"MinionHorde"
,,,,3000,"Spawn",3500,17000,"Zap"
,,,,8000,"SpawnEnemy",3500,14000,"SpearGoblins"
,,,,10000,"Spawn",3500,17000,"Zap"
,,,,11500,"Reset",,,
,,,,11500,"CameraOffset",1000,-3000,
,,,,11750,"Spawn",3500,17000,"Giant"
,,,,14000,"SpawnEnemy",7000,11000,"InfernoTower"
,,,,17500,"Spawn",7000,11000,"Zap"
,,,,20500,"Reset",,,
"MegaMinion","Normal",,-3000,500,"Spawn",3500,19000,"MegaMinion"
,,,,500,"SpawnEnemy",3500,14000,"Knight"
,,,,8500,"SpawnEnemy",3500,8000,"Musketeer"
,,,,9000,"KingCrying",,,
,,,,12500,"CameraStop",,,
,,,,15000,"Reset",,,
"InfernoTower","Normal",2000,1500,500,"SpawnEnemy",3500,14000,"Golem"
,,,,4500,"Spawn",9000,22000,"InfernoTower"
,,,,11000,"CameraStop",,,
,,,,21000,"Reset",,,
,,,,21000,"CameraOffset",2000,0,
,,,,21250,"SpawnEnemy",3500,14000,"Giant"
,,,,22000,"SpawnEnemy",6000,12000,"ElectroDragon"
,,,,23500,"KingCrying",,,
,,,,24000,"Spawn",9000,22000,"InfernoTower"
,,,,36000,"Reset",,,
"Pekka","Normal",,-2500,500,"Spawn",3500,18000,"Pekka"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,8000,"KingCrying",,,
,,,,8000,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,19000,"Reset",,,
"Lightning","Normal",,,500,"SpawnEnemy",2000,8000,"Witch"
,,,,1000,"SpawnEnemy",5000,9000,"Musketeer"
,,,,2500,"Spawn",3500,8000,"Lightning"
,,,,6000,"KingCrying",,,
,,,,6000,"SpawnEnemy",3500,8000,"SkeletonArmy"
,,,,7000,"Spawn",3500,8000,"Lightning"
,,,,10000,"Reset",,,
"Miner","Normal",3500,1000,500,"SpawnEnemy",1000,1000,"FirespiritHut"
,,,,2000,"Spawn",2000,1000,"Miner"
,,,,12500,"SpawnEnemy",1000,4000,"Bomber"
,,,,12500,"Spawn",1000,7500,"Miner"
,,,,20000,"Reset",,,
"LavaHound","Normal",2500,-3000,500,"Spawn",3500,17000,"LavaHound"
,,,,4500,"SpawnEnemy",6000,12000,"Tesla"
,,,,9000,"Spawn",3500,17000,"Knight"
,,,,28000,"Reset",,,
"Bats","Normal",,-1500,500,"Spawn",3500,21000,"Bats"
,,,,500,"SpawnEnemy",3500,14000,"BattleRam"
,,,,9000,"SpawnEnemy",1500,9000,"Archer"
,,,,10000,"CameraOffset",,-3000,
,,,,10000,"KingCrying",,,
,,,,14000,"CameraStop",,,
,,,,16000,"Reset",,,
"FireSpirits","Normal",,-3000,500,"Spawn",3500,17000,"FireSpirits"
,,,,6500,"Spawn",3500,17000,"FireSpirits"
,,,,8000,"SpawnEnemy",3500,8000,"MinionHorde"
,,,,12500,"Reset",,,
,,,,12500,"KingCrying",,,
,,,,12750,"Spawn",3500,17000,"FireSpirits"
,,,,14000,"SpawnEnemy",6000,10000,"IceGolemite"
,,,,17500,"Reset",,,
"Wizard","Normal",,-3000,500,"Spawn",7500,23000,"Wizard"
,,,,500,"SpawnEnemy",3500,14000,"MegaMinion"
,,,,9000,"SpawnEnemy",3500,14000,"RoyalHogs"
,,,,10000,"CameraOffset",,2000,
,,,,16000,"CameraOffset",,-1500,
,,,,17000,"KingCrying",,,
,,,,18000,"SpawnEnemy",2000,14000,"RageBarbarian"
,,,,21500,"Reset",,,
"FirespiritHut","Normal",2000,-3000,500,"Spawn",3500,17000,"Minions"
,,,,2500,"SpawnEnemy",7000,10000,"FirespiritHut"
,,,,4500,"CameraStop",,,
,,,,17000,"Reset",,,
"Tornado","Normal",1500,2500,500,"SpawnEnemy",3500,14000,"HogRider"
,,,,6000,"Spawn",7000,27000,"Tornado"
,,,,10000,"CameraOffset",,-2000,
,,,,10500,"Spawn",7000,22000,"Wizard"
,,,,10750,"SpawnEnemy",3500,14000,"Giant"
,,,,12000,"SpawnEnemy",3500,12000,"Goblins"
,,,,13000,"SpawnEnemy",3500,12000,"Minions"
,,,,16000,"Spawn",2000,17000,"Tornado"
,,,,25000,"Reset",,,
"Poison","Normal",1500,,500,"SpawnEnemy",3500,13000,"GoblinGang"
,,,,1000,"Spawn",3500,16000,"Poison"
,,,,5500,"Reset",,,
,,,,5500,"SpawnEnemy",12000,8000,"ThreeMusketeers"
,,,,5750,"Spawn",13000,10000,"Poison"
,,,,17000,"Reset",,,
"DarkWitch","Normal",,-2000,500,"Spawn",4000,23000,"DarkWitch"
,,,,500,"SpawnEnemy",3500,14000,"RoyalGiant"
,,,,20000,"CameraStop",,,
,,,,28000,"Reset",,,
"EliteArcher","Normal",,-3500,500,"Spawn",6000,23000,"EliteArcher"
,,,,500,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,12750,"SpawnEnemy",3500,8000,"Goblins"
,,,,18000,"Reset",,,
"SkeletonBalloon","Normal",2000,-3000,500,"Spawn",3500,17000,"SkeletonBalloon"
,,,,15500,"Spawn",3500,17000,"SkeletonBalloon"
,,,,20000,"KingCrying",,,
,,,,21000,"SpawnEnemy",6000,7000,"Wizard"
,,,,28000,"Reset",,,
"Mortar","Normal",2500,-3500,500,"Spawn",3500,18000,"Mortar"
,,,,3000,"SpawnEnemy",7000,9500,"Knight"
,,,,18000,"Reset",,,
,,,,18000,"KingCrying",,,
,,,,18250,"Spawn",3500,18000,"Mortar"
,,,,19000,"SpawnEnemy",6000,12000,"RoyalGiant"
,,,,27000,"Reset",,,
"Rocket","Normal",2500,-1000,500,"SpawnEnemy",1000,2000,"AxeMan"
,,,,1000,"Spawn",2500,5000,"Rocket"
,,,,5000,"SpawnEnemy",3500,14000,"Balloon"
,,,,5000,"CameraOffset",,2000,
,,,,7000,"Spawn",3500,17000,"Rocket"
,,,,11500,"Reset",,,
"DartBarrell","Normal",,-3000,500,"Spawn",9000,20000,"DartBarrell"
,,,,1500,"SpawnEnemy",9000,14000,"RoyalHogs"
,,,,3000,"CameraOffset",,1500,
,,,,13500,"Reset",,,
,,,,13500,"CameraOffset",1500,-1500,
,,,,13500,"KingCrying",,,
,,,,13750,"Spawn",9000,17000,"DartBarrell"
,,,,16000,"SpawnEnemy",8000,14000,"MegaMinion"
,,,,21000,"Reset",,,
"Balloon","Normal",,-3500,500,"Spawn",3500,17000,"Balloon"
,,,,21000,"Spawn",14000,14000,"Balloon"
,,,,21000,"KingCrying",,,
,,,,23000,"SpawnEnemy",10000,10000,"Musketeer"
,,,,25000,"SpawnEnemy",18000,9000,"IceSpirits"
,,,,33500,"Reset",,,
"Xbow","Normal",2000,-3000,500,"Spawn",3500,19000,"Xbow"
,,,,2500,"SpawnEnemy",6000,13000,"Hunter"
,,,,7500,"SpawnEnemy",2000,11500,"Goblins"
,,,,18000,"Spawn",14000,19000,"Xbow"
,,,,18000,"CameraOffset",-1000,-3000,
,,,,19000,"KingCrying",,,
,,,,20000,"SpawnEnemy",10000,13000,"RoyalGiant"
,,,,32000,"Reset",,,
"Log","Normal",,1500,500,"SpawnEnemy",3500,12000,"GoblinGang"
,,,,1500,"Spawn",3500,19000,"Log"
,,,,5500,"SpawnEnemy",12000,12000,"Princess"
,,,,7000,"Spawn",12000,12500,"Log"
,,,,9500,"Reset",,,
"InfernoDragon","Normal",,-3500,500,"Spawn",6000,23000,"InfernoDragon"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,6000,"CameraOffset",,0,
,,,,12000,"SpawnEnemy",3500,14000,"HogRider"
,,,,13000,"CameraOffset",,-2500,
,,,,13500,"KingCrying",,,
,,,,14000,"SpawnEnemy",3500,12000,"ElectroWizard"
,,,,26500,"Reset",,,
"RoyalGiant","Normal",1500,-3000,500,"Spawn",3500,17000,"RoyalGiant"
,,,,4000,"SpawnEnemy",6000,11000,"Cannon"
,,,,12000,"Spawn",14000,17000,"RoyalGiant"
,,,,12500,"KingCrying",,,
,,,,12500,"SpawnEnemy",9000,9000,"InfernoTower"
,,,,21000,"CameraStop",,,
,,,,24000,"Reset",,,
"RoyalRecruits","Fixed",9000,17500,500,"Spawn",9000,22000,"RoyalRecruits"
,,,,750,"SpawnEnemy",3500,14000,"HogRider"
,,,,750,"SpawnEnemy",14000,14000,"BattleRam"
,,,,9000,"SpawnEnemy",9000,14000,"Wizard"
,,,,9500,"KingCrying",,,
,,,,20000,"Reset",,,
"RoyalHogs","Normal",2000,-2500,500,"Spawn",3500,17000,"RoyalHogs"
,,,,2500,"SpawnEnemy",3500,6000,"Log"
,,,,21000,"Spawn",14000,17000,"RoyalHogs"
,,,,22000,"KingCrying",,,
,,,,23000,"SpawnEnemy",10000,10000,"BombTower"
,,,,28000,"CameraStop",,,
,,,,31000,"Reset",,,
"ThreeMusketeers","Fixed",10000,17000,500,"SpawnEnemy",6000,14000,"LavaHound"
,,,,500,"SpawnEnemy",14000,14000,"Giant"
,,,,2500,"Spawn",9000,20000,"ThreeMusketeers"
,,,,5500,"CameraOffset",10000,19500,
,,,,16000,"Spawn",6000,17000,"BattleRam"
,,,,17000,"Spawn",14000,17000,"IceGolemite"
,,,,20500,"Reset",,,
,,,,20750,"KingCrying",,,
,,,,20750,"Spawn",9000,20000,"ThreeMusketeers"
,,,,22000,"SpawnEnemy",9000,20000,"Fireball"
,,,,22500,"SpawnEnemy",9000,20000,"Zap"
,,,,25500,"Reset",,,
"DarkPrince","Normal",1500,-3000,500,"Spawn",3500,17000,"DarkPrince"
,,,,4000,"SpawnEnemy",6500,12000,"SkeletonWarriors"
,,,,12000,"Spawn",14000,14000,"DarkPrince"
,,,,12500,"KingCrying",,,
,,,,16000,"SpawnEnemy",11000,7500,"Prince"
,,,,22500,"Reset",,,
"SkeletonWarriors","Normal",1500,2000,500,"SpawnEnemy",3500,14000,"Prince"
,,,,3500,"Spawn",7000,21000,"SkeletonWarriors"
,,,,13000,"Reset",,,
"Princess","Normal",,-3500,500,"Spawn",7000,22000,"Princess"
,,,,5000,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,11000,"KingCrying",,,
,,,,12000,"SpawnEnemy",3500,14000,"BarbLog"
,,,,12000,"CameraOffset",,2000,
,,,,15500,"Reset",,,
"MegaKnight","Normal",,-1500,500,"SpawnEnemy",3500,14000,"Barbarians"
,,,,1000,"SpawnEnemy",3500,12000,"SkeletonWarriors"
,,,,5000,"Spawn",3500,18000,"MegaKnight"
,,,,11500,"KingCrying",,,
,,,,12500,"SpawnEnemy",7000,9000,"Prince"
,,,,21500,"Reset",,,
"Snowball","Normal",,-500,500,"SpawnEnemy",3500,14000,"MinionHorde"
,,,,2500,"Spawn",3500,18000,"Snowball"
,,,,8000,"Spawn",3500,17000,"Giant"
,,,,10500,"SpawnEnemy",5000,16000,"InfernoDragon"
,,,,13000,"Spawn",3000,14000,"Snowball"
,,,,16000,"Reset",,,
"IceSpirits","Normal",1500,2000,500,"SpawnEnemy",3500,14000,"Musketeer"
,,,,4000,"Spawn",6500,19000,"IceSpirits"
,,,,9500,"SpawnEnemy",3500,14000,"DarkPrince"
,,,,13000,"Spawn",6500,24000,"IceSpirits"
,,,,15500,"Spawn",3500,21000,"Knight"
,,,,21000,"Reset",,,
"IceGolemite","Normal",1500,-2000,500,"Spawn",3500,17000,"IceGolemite"
,,,,1500,"Spawn",3500,19000,"HogRider"
,,,,8500,"Reset",,,
,,,,8500,"SpawnEnemy",3500,14000,"Minions"
,,,,8500,"CameraOffset",1500,2000,
,,,,9500,"Spawn",3500,20000,"IceGolemite"
,,,,17500,"Reset",,,
,,,,17500,"CameraOffset",3000,2000,
,,,,17750,"SpawnEnemy",3500,14000,"GiantSkeleton"
,,,,20500,"Spawn",9000,17000,"IceGolemite"
,,,,25000,"CameraOffset",1500,-2500,
,,,,26500,"SpawnEnemy",14000,13000,"MiniPekka"
,,,,26750,"KingCrying",,,
,,,,32500,"Reset",,,
"Elixir Collector","Fixed",5000,26500,500,"Spawn",2000,28000,"Elixir Collector"
,,,,9500,"SpawnEnemy",2000,28000,"Miner"
,,,,12500,"Spawn",2000,28000,"Goblins"
,,,,21000,"Reset",,,
"Freeze","Normal",1500,-2000,500,"Spawn",3500,17000,"HogRider"
,,,,4000,"SpawnEnemy",3500,7500,"RageBarbarian"
,,,,6500,"Spawn",3500,6500,"Freeze"
,,,,12000,"Reset",,,
,,,,12250,"Spawn",16000,7500,"Graveyard"
,,,,14000,"Spawn",15000,6500,"Freeze"
,,,,25000,"Reset",,,
"Bowler","Normal",1500,-3000,500,"Spawn",3500,22000,"Bowler"
,,,,500,"SpawnEnemy",3500,14000,"BattleRam"
,,,,14000,"KingCrying",,,
,,,,14500,"SpawnEnemy",3500,14000,"Minions"
,,,,16000,"CameraStop",,,
,,,,22000,"Reset",,,
"IceWizard","Normal",,-3000,500,"Spawn",7000,22000,"IceWizard"
,,,,500,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,4500,"SpawnEnemy",3500,14000,"MinionHorde"
,,,,14000,"Reset",,,
,,,,14000,"KingCrying",,,
,,,,14250,"Spawn",3500,17000,"IceWizard"
,,,,18000,"SpawnEnemy",1500,11000,"MiniPekka"
,,,,22000,"Reset",,,
"RageBarbarian","Normal",2000,-2000,500,"Spawn",3500,19000,"RageBarbarian"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,12000,"SpawnEnemy",6000,9000,"GoblinGang"
,,,,14000,"Spawn",3500,17000,"Balloon"
,,,,14000,"CameraOffset",1500,-3000,
,,,,32000,"Reset",,,
"GoblinGang","Normal",2000,2000,500,"SpawnEnemy",3500,14000,"Prince"
,,,,4500,"Spawn",7500,22000,"GoblinGang"
,,,,13500,"Reset",,,
"Rascals","Normal",,-1500,500,"Spawn",9000,20000,"Rascals"
,,,,1000,"SpawnEnemy",5000,14000,"GoblinGang"
,,,,1500,"SpawnEnemy",11000,14000,"GoblinGang"
,,,,13000,"Reset",,,
"BlowdartGoblin","Normal",,-3500,500,"Spawn",9000,23000,"BlowdartGoblin"
,,,,500,"SpawnEnemy",9000,14000,"RoyalRecruits"
,,,,4500,"Spawn",9000,20000,"Goblins"
,,,,16000,"Reset",,,
"Earthquake","Normal",1500,-2500,500,"Spawn",2000,17000,"HogRider"
,,,,2500,"SpawnEnemy",6000,9000,"InfernoTower"
,,,,5000,"Spawn",4500,7500,"Earthquake"
,,,,11000,"SpawnEnemy",7000,10000,"FirespiritHut"
,,,,14000,"Spawn",5500,8000,"Earthquake"
,,,,19000,"Reset",,,
"GoblinGiant","Normal",1500,-2500,500,"Spawn",3500,17000,"GoblinGiant"
,,,,2500,"SpawnEnemy",3500,9000,"Bats"
,,,,4500,"SpawnEnemy",7000,11000,"Skeletons"
,,,,8000,"KingCrying",,,
,,,,8500,"SpawnEnemy",3500,8000,"AngryBarbarians"
,,,,17000,"Reset",,,
"Assassin","Normal",1500,-3000,500,"Spawn",7000,24000,"Assassin"
,,,,500,"SpawnEnemy",3500,14000,"IceWizard"
,,,,6500,"SpawnEnemy",6500,10000,"Princess"
,,,,13000,"Reset",,,
,,,,13250,"KingCrying",,,
,,,,13250,"Spawn",3500,17000,"Assassin"
,,,,16000,"SpawnEnemy",5000,9000,"Rascals"
,,,,20000,"Reset",,,
"AngryBarbarians","Normal",1000,-2000,500,"Spawn",3500,22000,"AngryBarbarians"
,,,,500,"SpawnEnemy",3500,14000,"GoblinGiant"
,,,,9500,"KingCrying",,,
,,,,10000,"SpawnEnemy",5000,10000,"SkeletonArmy"
,,,,18000,"Reset",,,
"Firecracker","Normal",2000,-3500,500,"Spawn",3500,20000,"Firecracker"
,,,,500,"SpawnEnemy",3500,14000,"Rascals"
,,,,11000,"Reset",,,
,,,,11000,"CameraOffset",1000,-2000,
,,,,11250,"Spawn",6000,19000,"Firecracker"
,,,,11250,"KingCrying",,,
,,,,11750,"SpawnEnemy",3500,14000,"Assassin"
,,,,18000,"Reset",,,
"Heal","Normal",,-3000,500,"Spawn",3500,20000,"MinionHorde"
,,,,1500,"SpawnEnemy",3500,18000,"Zap"
,,,,3500,"Spawn",3500,15000,"Heal"
,,,,11500,"Reset",,,
"BombTower","Normal",,-3000,500,"Spawn",7000,22000,"BombTower"
,,,,500,"SpawnEnemy",6000,14000,"RoyalHogs"
,,,,12000,"Reset",,,
,,,,12250,"KingCrying",,,
,,,,12250,"Spawn",7000,18000,"BombTower"
,,,,13000,"SpawnEnemy",6000,14000,"MegaMinion"
,,,,25000,"Reset",,,
