"Name","TID","IconSWF","IconExportName","IconExportNameHiRes","FlyingIconScName","FlyingIconExportName","CardImageScName","CardImageExportName","FrontIconScName","FrontIconExportName","Target","Rarity","IsEnabled","HideInCollectionPage","MaxAmountKingLevel","MaxAmountValue","UsageTID","UsageShortTID","NotAvailableTID","AllowInFreeChronosOffers","MaxAmountInChronos","ChronosGemValue100","OnOverflowGoldValue","OnOverflowGemValue","NeverOverflow","InvalidTargetTID","SortOrder","IconFX","TutorialGivenAmount","RewardScreenAllowSkip","RewardScreenAppearEffect","RewardScreenLoopEffect","RewardScreenVignette","ChestAppearEffect","ChestLoopEffect","RewardDescriptionTID","DurationInHours","ShopOfferInfoTID"
"WildcardEpic","TID_ITEM_CONSUMABLE_WILDCARD_EPIC","sc/ui_spells.sc","icon_consumable_wildcard_epic","icon_consumable_wildcard_epic_hires","sc/ui_spells.sc","icon_consumable_wildcard_epic","sc/ui_spells.sc","card_image_consumable_wildcard_epic","sc/ui_chest.sc","icon_consumable_wildcard_front_epic","Spell","Epic","TRUE",,0,2,"TID_ITEM_CONSUMABLE_WILDCARD_USAGE","TID_ITEM_CONSUMABLE_WILDCARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_WILDCARD_NOT_AVAILABLE","TRUE",200,5000,500,0,,"TID_ITEM_CONSUMABLE_WILDCARD_INVALID_TARGET",2,,,"TRUE","consumable_rewardAppear_epic_wildcard",,,"wildcard_openChest_get_epic","wildcard_openChest_loop_epic","TID_ITEM_CONSUMABLE_WILDCARD_EPIC_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_WILDCARD_EPIC"
,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,200,,,,,,,,,,,,,,,,,,,,,,
"WildcardLegendary","TID_ITEM_CONSUMABLE_WILDCARD_LEGENDARY","sc/ui_spells.sc","icon_consumable_wildcard_legendary","icon_consumable_wildcard_legendary_hires","sc/ui_spells.sc","icon_consumable_wildcard_legendary","sc/ui_spells.sc","card_image_consumable_wildcard_legendary","sc/ui_chest.sc","icon_consumable_wildcard_front_legendary","Spell","Legendary","TRUE",,0,1,"TID_ITEM_CONSUMABLE_WILDCARD_USAGE","TID_ITEM_CONSUMABLE_WILDCARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_WILDCARD_NOT_AVAILABLE","TRUE",20,100000,20000,0,,"TID_ITEM_CONSUMABLE_WILDCARD_INVALID_TARGET",3,,,"TRUE","consumable_rewardAppear_legendary_wildcard",,"legendary_vignette","wildcard_openChest_get_legendary","wildcard_openChest_loop_legendary","TID_ITEM_CONSUMABLE_WILDCARD_LEGENDARY_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_WILDCARD_LEGENDARY"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,20,,,,,,,,,,,,,,,,,,,,,,
"BookCardCommon","TID_ITEM_CONSUMABLE_BOOK_CARD_COMMON","sc/ui_spells.sc","icon_consumable_book_cards_common","icon_consumable_book_cards_common_hires","sc/ui_spells.sc","icon_consumable_book_cards_common","sc/ui_spells.sc","card_image_consumable_book_cards_common",,,"Spell","Common","TRUE",,0,1,"TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE","TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_BOOK_CARD_NOT_AVAILABLE","FALSE",2,50000,0,100,,"TID_ITEM_CONSUMABLE_BOOK_CARD_INVALID_TARGET",10,,,"TRUE","consumable_RewardAppear_common_book",,,,,"TID_ITEM_CONSUMABLE_BOOK_CARD_COMMON_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_BOOK_CARD_COMMON"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"BookCardRare","TID_ITEM_CONSUMABLE_BOOK_CARD_RARE","sc/ui_spells.sc","icon_consumable_book_cards_rare","icon_consumable_book_cards_rare_hires","sc/ui_spells.sc","icon_consumable_book_cards_rare","sc/ui_spells.sc","card_image_consumable_book_cards_rare",,,"Spell","Rare","TRUE",,0,1,"TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE","TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_BOOK_CARD_NOT_AVAILABLE","FALSE",2,100000,0,100,,"TID_ITEM_CONSUMABLE_BOOK_CARD_INVALID_TARGET",11,,,"TRUE","consumable_RewardAppear_rare_book",,,,,"TID_ITEM_CONSUMABLE_BOOK_CARD_RARE_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_BOOK_CARD_RARE"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"BookCardEpic","TID_ITEM_CONSUMABLE_BOOK_CARD_EPIC","sc/ui_spells.sc","icon_consumable_book_cards_epic","icon_consumable_book_cards_epic_hires","sc/ui_spells.sc","icon_consumable_book_cards_epic","sc/ui_spells.sc","card_image_consumable_book_cards_epic",,,"Spell","Epic","TRUE",,0,1,"TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE","TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_BOOK_CARD_NOT_AVAILABLE","FALSE",2,185000,0,100,,"TID_ITEM_CONSUMABLE_BOOK_CARD_INVALID_TARGET",12,,,"TRUE","consumable_RewardAppear_epic_book",,,,,"TID_ITEM_CONSUMABLE_BOOK_CARD_EPIC_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_BOOK_CARD_EPIC"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"BookCardLegendary","TID_ITEM_CONSUMABLE_BOOK_CARD_LEGENDARY","sc/ui_spells.sc","icon_consumable_book_cards_legendary","icon_consumable_book_cards_legendary_hires","sc/ui_spells.sc","icon_consumable_book_cards_legendary","sc/ui_spells.sc","card_image_consumable_book_cards_legendary",,,"Spell","Legendary","TRUE",,0,1,"TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE","TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_BOOK_CARD_NOT_AVAILABLE","FALSE",2,250000,0,100,,"TID_ITEM_CONSUMABLE_BOOK_CARD_INVALID_TARGET",13,,,"TRUE","consumable_RewardAppear_legendary_book",,"legendary_vignette",,,"TID_ITEM_CONSUMABLE_BOOK_CARD_LEGENDARY_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_BOOK_CARD_LEGENDARY"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"GoldCoin","TID_ITEM_CONSUMABLE_GOLD_COIN","sc/ui_spells.sc","icon_consumable_gold_coin_icon","icon_consumable_gold_coin_icon_hires","sc/ui_spells.sc","icon_consumable_gold_coin_icon","sc/ui_spells.sc","card_image_consumable_gold_coin",,,"Spell",,"TRUE",,0,1,"TID_ITEM_CONSUMABLE_GOLD_COIN_USAGE","TID_ITEM_CONSUMABLE_GOLD_COIN_USAGE_SHORT","TID_ITEM_CONSUMABLE_GOLD_COIN_NOT_AVAILABLE","FALSE",2,185000,0,100,,"TID_ITEM_CONSUMABLE_GOLD_COIN_INVALID_TARGET",20,,,"TRUE","consumable_RewardAppear_coin",,,,,"TID_ITEM_CONSUMABLE_GOLD_COIN_USAGE",,"TID_SHOP_OFFER_INFO_CONSUMABLE_GOLD_COIN"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"ChestKey","TID_ITEM_CONSUMABLE_CHEST_KEY","sc/ui_spells.sc","icon_consumable_chest_key_icon","icon_consumable_chest_key_icon_hires","sc/ui_spells.sc","icon_consumable_chest_key_icon","sc/ui_spells.sc","card_image_consumable_chest_key",,,"Chest",,"TRUE",,0,5,"TID_ITEM_CONSUMABLE_CHEST_KEY_USAGE","TID_ITEM_CONSUMABLE_CHEST_KEY_USAGE_SHORT","TID_ITEM_CONSUMABLE_CHEST_KEY_NOT_AVAILABLE","FALSE",10,2500,100,0,,"TID_ITEM_CONSUMABLE_CHEST_KEY_INVALID_TARGET",21,,,"TRUE","consumable_RewardAppear_key",,,,,"TID_ITEM_CONSUMABLE_CHEST_KEY_USAGE",,"TID_SHOP_OFFER_INFO_CONSUMABLE_CHEST_KEY"
,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,,,,,
"BookCardAll","TID_ITEM_CONSUMABLE_BOOK_CARD_ALL","sc/ui_spells.sc","icon_consumable_book_cards_all","icon_consumable_book_cards_all_hires","sc/ui_spells.sc","icon_consumable_book_cards_all","sc/ui_spells.sc","card_image_consumable_book_cards_all",,,"Spell",,"TRUE",,0,1,"TID_ITEM_CONSUMABLE_BOOK_CARD_ALL_USAGE","TID_ITEM_CONSUMABLE_BOOK_CARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_BOOK_CARD_ALL_NOT_AVAILABLE","TRUE",1,250000,0,100,,"TID_ITEM_CONSUMABLE_BOOK_CARD_INVALID_TARGET",19,,,"TRUE","consumable_RewardAppear_book_of_books",,"book_of_book_vignette",,,"TID_ITEM_CONSUMABLE_BOOK_CARD_ALL_USAGE",,"TID_SHOP_OFFER_INFO_CONSUMABLE_BOOK_CARD_ALL"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
"CosmeticsToken","TID_ITEM_COSMETICS_TOKEN","sc/ui_spells.sc","icon_consumable_cosmetic_token_icon","icon_consumable_cosmetic_token_icon_hires","sc/ui_spells.sc","icon_consumable_cosmetic_token_icon","sc/ui_spells.sc","card_image_consumable_cosmetic_token",,,"None",,"TRUE","TRUE",0,200,,,,"TRUE",200,2500,100,0,"TRUE",,1000,,,"TRUE","consumable_RewardAppear_CosmeticsToken",,,,,"TID_ITEM_COSMETICS_TOKEN_USAGE",,"TID_SHOP_OFFER_INFO_COSMETICS_TOKEN"
,,,,,,,,,,,,,,,1,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,200,,,,,,,,,,,,,,,,,,,,,,
"WildcardChampion","TID_ITEM_CONSUMABLE_WILDCARD_CHAMPION","sc/ui_spells.sc","icon_consumable_wildcard_champion","icon_consumable_wildcard_champion_hires","sc/ui_spells.sc","icon_consumable_wildcard_champion","sc/ui_spells.sc","card_image_consumable_wildcard_champion","sc/ui_chest.sc","icon_consumable_wildcard_front_champion","Spell","Champion","TRUE",,0,1,"TID_ITEM_CONSUMABLE_WILDCARD_USAGE","TID_ITEM_CONSUMABLE_WILDCARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_WILDCARD_NOT_AVAILABLE","TRUE",20,100000,20000,0,,"TID_ITEM_CONSUMABLE_WILDCARD_INVALID_TARGET",4,,,"TRUE","consumable_rewardAppear_champion_wildcard",,,"wildcard_openChest_get_champion","wildcard_openChest_loop_champion","TID_ITEM_CONSUMABLE_WILDCARD_CHAMPION_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_WILDCARD_CHAMPION"
,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,20,,,,,,,,,,,,,,,,,,,,,,
