"Name","IconSWF","IconSWFChina","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell","EvolvedSpells","DarkElixirCost"
"Golem_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Skeletons_EV1","sc/ui_spell_skeletons_evolution.sc",,"skeletons_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/skeleton_evolution_dl.png","Arena2",,"Common","TRUE",,1,3,,,,,"TRUE","Skeleton_EV1",4,,,,700,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_SKELETONS","TID_SPELL_INFO_EVO_SKELETONS",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2
"Valkyrie_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"SkeletonArmy_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Bomber_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Musketeer_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"BabyDragon_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Prince_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Wizard_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MiniPekka_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"SpearGoblins_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"GiantSkeleton_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"HogRider_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MinionHorde_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"IceWizard_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"RoyalGiant_EV1","sc/ui_spell_royal_giant_evolution.sc",,"royalgiant_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/royal_giant_evolution_dl.png","Arena7",,"Common","TRUE",,6,2,,,,,,"RoyalGiant_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_ROYAL_GIANT","TID_SPELL_INFO_EVO_ROYAL_GIANT",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,1
"SkeletonWarriors_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Princess_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"DarkPrince_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"ThreeMusketeers_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"LavaHound_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"IceSpirits_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"FireSpirits_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Miner_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"ZapMachine_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Bowler_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"RageBarbarian_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"BattleRam_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"InfernoDragon_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"IceGolemite_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MegaMinion_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"BlowdartGoblin_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"GoblinGang_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"ElectroWizard_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"AngryBarbarians_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Hunter_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"AxeMan_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Assassin_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"RoyalRecruits_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"DarkWitch_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Bats_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Ghost_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"RamRider_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MiniSparkys_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Rascals_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MovingCannon_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"MegaKnight_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"SkeletonBalloon_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"DartBarrell_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Wallbreakers_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"RoyalHogs_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"GoblinGiant_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
