"Name","EndCondition","KillChildWavesOnEnd","ActionOrder","ActionType","ActionArgString","ActionIsEnabled","ActionStartCondition","ActionSpawnCount","ActionSpawnX","ActionSpawnY","ActionSpawnDelay","ActionSpawnLevel"
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost3)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost3",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 3!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","2",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost4)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost4",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 4!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","3",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackRevengeTower_SPAWNONHIT","tower_hp(wave_var3-1) <= 0","false","Sequential","None","**SPAWN-ON-HIT MODE**","true","true",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 1!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",0,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$1","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost2",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost2)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 2!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",1,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost3",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost3)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 3!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",2,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost4",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost4)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 4!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",3,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost1",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost1)",,,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackBrokenTower","false","false","Sequential","None",,"true","time_in_line >= (var2 * defense_card_cost1)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",0,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$1","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost2)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",1,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost3)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",2,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost4)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",3,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tower1SpawnUnknown","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"current_card_level"
"Tower1SpawnDefender","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"current_card_level"
"Tower1SpawnAttacker","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"current_card_level"
"Tower1SpawnSpell","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"current_card_level"
"Tower1SpawnRange","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"current_card_level"
,,,,,,,,,,,,
"Tower2SpawnUnknown","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnDefender","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnAttacker","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnSpell","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"current_card_level"
"Tower2SpawnRange","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"current_card_level"
,,,,,,,,,,,,
"Tower3SpawnUnknown","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"current_card_level"
"Tower3SpawnDefender","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"current_card_level"
"Tower3SpawnAttacker","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"current_card_level"
"Tower3SpawnSpell","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"current_card_level"
"Tower3SpawnRange","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"current_card_level"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tower1SpawnUnknown1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level1"
"Tower1SpawnDefender1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level1"
"Tower1SpawnAttacker1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level1"
"Tower1SpawnSpell1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level1"
"Tower1SpawnRange1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level1"
"Tower2SpawnUnknown1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnDefender1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnAttacker1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnSpell1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level1"
"Tower2SpawnRange1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level1"
"Tower3SpawnUnknown1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level1"
"Tower3SpawnDefender1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level1"
"Tower3SpawnAttacker1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level1"
"Tower3SpawnSpell1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level1"
"Tower3SpawnRange1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level1"
,,,,,,,,,,,,
"Tower1SpawnUnknown2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level2"
"Tower1SpawnDefender2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level2"
"Tower1SpawnAttacker2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level2"
"Tower1SpawnSpell2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level2"
"Tower1SpawnRange2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level2"
"Tower2SpawnUnknown2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnDefender2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnAttacker2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnSpell2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level2"
"Tower2SpawnRange2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level2"
"Tower3SpawnUnknown2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level2"
"Tower3SpawnDefender2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level2"
"Tower3SpawnAttacker2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level2"
"Tower3SpawnSpell2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level2"
"Tower3SpawnRange2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level2"
,,,,,,,,,,,,
"Tower1SpawnUnknown3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level3"
"Tower1SpawnDefender3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level3"
"Tower1SpawnAttacker3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level3"
"Tower1SpawnSpell3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level3"
"Tower1SpawnRange3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level3"
"Tower2SpawnUnknown3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
"Tower2SpawnDefender3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
"Tower2SpawnAttacker3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
"Tower2SpawnSpell3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level3"
"Tower2SpawnRange3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level3"
"Tower3SpawnUnknown3","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level3"
"Tower3SpawnDefender3","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level3"
"Tower3SpawnAttacker3","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level3"
"Tower3SpawnSpell3","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level3"
"Tower3SpawnRange3","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level3"
,,,,,,,,,,,,
"Tower1SpawnUnknown4","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level4"
"Tower1SpawnDefender4","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level4"
"Tower1SpawnAttacker4","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level4"
"Tower1SpawnSpell4","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level4"
"Tower1SpawnRange4","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level4"
"Tower2SpawnUnknown4","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level4"
"Tower2SpawnDefender4","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level4"
"Tower2SpawnAttacker4","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level4"
"Tower2SpawnSpell4","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level4"
"Tower2SpawnRange4","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level4"
"Tower3SpawnUnknown4","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level4"
"Tower3SpawnDefender4","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level4"
"Tower3SpawnAttacker4","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level4"
"Tower3SpawnSpell4","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level4"
"Tower3SpawnRange4","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level4"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"###",,,,,,,,,,,,
,,,,,,,,,,,,
"Generic info:","The mode starts with one wave. That wave executes actions. These actions may then, among other things, spawn new waves.",,,,,,,,,,,
,"Multiple waves can be alive simultaneously. The ”child wave” concept means that the spawned wave is attached to the wave that spawned it.",,,,,,,,,,,
,"Waves can kill child waves either automatically when the wave ends or via an action.",,,,,,,,,,,
,"Wave tries to execute as many actions on every tick as possible. If an action is enabled, then it will be executed when its start condition is met.",,,,,,,,,,,
,"The wave keeps waiting until the action condition is true, or the action is later disabled. Only after the action is executed will the wave try next one.",,,,,,,,,,,
,"When all wave actions have been completed and there are no more actions to run, then the wave ends.",,,,,,,,,,,
,"There is also an end condition that’s evaluated every tick. If it returns true, then the wave ends, no matter what.",,,,,,,,,,,
,"The starting wave is ”Main<name_of_pve_mode>”, so for example ”TestPve1” would start at ”MainTestPve1”.",,,,,,,,,,,
,,,,,,,,,,,,
"Actions:","None","Does nothing. Useful for adding wait conditions for moving on.",,,,,,,,,,
,"Spawn","Spawns the enemy given in arg string. Evaluates spawn count and then for each spawn evaluates spawn x, spawn y, spawn delay (in ms) and spawn level. If spawn level is 0, then tournament level is used.",,,,,,,,,,
,"SpawnFromTower1","Same as Spawn, but spawns are signalled to start from defense tower #1.",,,,,,,,,,
,"SpawnFromTower2","Same as Spawn, but spawns are signalled to start from defense tower #2.",,,,,,,,,,
,"SpawnFromTower3","Same as Spawn, but spawns are signalled to start from defense tower #3.",,,,,,,,,,
,"RestartWave","Restarts the current wave (does not end the wave).",,,,,,,,,,
,"EndWave","Ends the current wave immediately.",,,,,,,,,,
,"SetBaseXY","Evaluates spawn x and spawn y and sets their values into variables ’base_x’ and ’base_y’. Useful for creating patterns that are centered around a point.",,,,,,,,,,
,"SetLevelOffset","Sets the level offset for the spawned units (for all waves, offset is from level 9). The offset comes from evaluating ActionSpawnCount.",,,,,,,,,,
,"SpawnWaveChild","Spawns the wave given in arg string as a child wave of the current wave.",,,,,,,,,,
,"SpawnWaveStandalone","Spawns the wave given in arg string as a standalone wave (current wave cannot affect it after spawning).",,,,,,,,,,
,"Log","Prints the text in arg string to debug log (not visible to the player).",,,,,,,,,,
,"GiveCrown","Gives a crown reward to the player.",,,,,,,,,,
,"GiveClanCoins","Gives clan coin rewards to the player. The coin count comes from evaluating ActionSpawnCount.",,,,,,,,,,
,"BattleWon","Marks the battle as being won.",,,,,,,,,,
,"BattleLost","Marks the battle as being lost.",,,,,,,,,,
,"SetVar1","Sets the value of the variable ’var1’ as the result of evaluating ActionSpawnCount.",,,,,,,,,,
,"SetVar2","Sets the value of the variable ’var2’ as the result of evaluating ActionSpawnCount.",,,,,,,,,,
,"SetVar3","Sets the value of the variable ’var3’ as the result of evaluating ActionSpawnCount.",,,,,,,,,,
,"SetVar4","Sets the value of the variable ’var4’ as the result of evaluating ActionSpawnCount.",,,,,,,,,,
,"SetVar5","Sets the value of the variable ’var5’ as the result of evaluating ActionSpawnCount.",,,,,,,,,,
,"SetWaveVar1","Sets the value of the variable ’wave_var1’ as the result of evaluating ActionSpawnCount. The variable is propagated to all child waves when spawned (eg. Via SpawnWaveChild or SpawnWaveStandalone).",,,,,,,,,,
,"SetWaveVar2","Sets the value of the variable ’wave_var2’ as the result of evaluating ActionSpawnCount. The variable is propagated to all child waves when spawned (eg. Via SpawnWaveChild or SpawnWaveStandalone).",,,,,,,,,,
,"SetWaveVar3","Sets the value of the variable ’wave_var3’ as the result of evaluating ActionSpawnCount. The variable is propagated to all child waves when spawned (eg. Via SpawnWaveChild or SpawnWaveStandalone).",,,,,,,,,,
,"SetWaveVar4","Sets the value of the variable ’wave_var4’ as the result of evaluating ActionSpawnCount. The variable is propagated to all child waves when spawned (eg. Via SpawnWaveChild or SpawnWaveStandalone).",,,,,,,,,,
,"SetWaveVar5","Sets the value of the variable ’wave_var5’ as the result of evaluating ActionSpawnCount. The variable is propagated to all child waves when spawned (eg. Via SpawnWaveChild or SpawnWaveStandalone).",,,,,,,,,,
,"DefenseWaveDone","Marks the current defense wave as being done. Next wave is set as current automatically. All spawned subwaves are locked to the current wave, so this only applies to new waves spawned after executing.",,,,,,,,,,
,"DebugMessage","Shows a floater debug message screen on the screen.",,,,,,,,,,
,"SetDefenseChargeTime","Sets the charge-up time for the defense tower. The tower is given in ActionSpawnCount, the time in ActionSpawnX.",,,,,,,,,,
,"TriggerDefenseDeploy","Triggers a defense deploy effect for the tower in ActionSpawnCount.",,,,,,,,,,
,"SetDefenseCardIndex","Chooses a card index as the ”current” card (0 onwards). This always refers to the current active wave. All spawned subwaves inherit the card index.",,,,,,,,,,
,"GivePlayerElixir","Gives the player SpawnAmount elixir. Shows the elixir droplet at tower index given by ActionSpawnX (0 based index).",,,,,,,,,,
,"TriggerNextElixirRate","Triggers the next elixir rate in the timeline.",,,,,,,,,,
,"SpawnDestroyedTower","Spawns the character/building in SpawnArgString to the tower position by tower ActionSpawnCount (0 based index).",,,,,,,,,,
,"TriggerBonusTime","Triggers the next bonus time section in the battle timeline.",,,,,,,,,,
,"PauseLogic","Pauses the game logic for ActionSpawnCount of milliseconds.",,,,,,,,,,
,,,,,,,,,,,,
"Expression variables:","NAME","VALIDITY","COMMENT",,,,,,,,,
,"time_played","Global","Time played (in ms).",,,,,,,,,
,"level_offset","Global","Current spawn level offset (from base level of 9).",,,,,,,,,
,"king_tower_healed","Global","True on the tick when the AI king tower was healed to full health.",,,,,,,,,
,"var1","Global","User set variable #1 (default value at start is 0).",,,,,,,,,
,"var2","Global","User set variable #2 (default value at start is 0).",,,,,,,,,
