"Name","CameraMode","CameraXOffset","CameraYOffset","EventTimeMS","EventType","EventParamInt1","EventParamInt2","EventParamString1"
,,,,20500,"CameraMode",,,"Fixed"
,,,,20500,"CameraOffset",7500,16500,
,,,,21000,"KingCrying",,,
,,,,21000,"Spawn",7000,20500,"GoblinHut"
,,,,22500,"SpawnEnemy",3500,14000,"Knight"
,,,,24000,"SpawnEnemy",8500,14000,"Musketeer"
,,,,38000,"Reset",,,
"GoblinBarrel","Fixed",5000,6500,500,"Spawn",3500,6500,"GoblinBarrel"
,,,,7500,"KingCrying",,,
,,,,7500,"Spawn",3500,6000,"GoblinBarrel"
,,,,11250,"SpawnEnemy",3500,4000,"Arrows"
,,,,13000,"Reset",,,
"Hunter","Normal",,-3000,500,"Spawn",3500,21500,"Hunter"
,,,,500,"SpawnEnemy",3500,14000,"HogRider"
,,,,5000,"SpawnEnemy",3500,12000,"Minions"
,,,,11250,"KingCrying",,,
,,,,11500,"SpawnEnemy",6000,8000,"Prince"
,,,,18000,"Reset",,,
"Skeletons","Normal",1000,2500,500,"SpawnEnemy",3500,14000,"Musketeer"
,,,,4250,"Spawn",3500,17000,"Skeletons"
,,,,9500,"Reset",,,
,,,,9750,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,12500,"Spawn",7500,18000,"Skeletons"
,,,,21500,"Reset",,,
"Bomber","Normal",,-3000,500,"Spawn",3500,21000,"Bomber"
,,,,1000,"SpawnEnemy",3500,14000,"Goblins"
,,,,4000,"SpawnEnemy",5500,13000,"Skeletons"
,,,,6000,"KingCrying",0,0,
,,,,7500,"SpawnEnemy",3500,13000,"Minions"
,,,,11000,"Reset",,,
"Valkyrie","Normal",,-3000,500,"Spawn",3500,17000,"Valkyrie"
,,,,2000,"SpawnEnemy",4000,11000,"Goblins"
,,,,6250,"KingCrying",,,
,,,,6500,"SpawnEnemy",6000,8500,"MiniPekka"
,,,,14000,"Reset",,,
"Tombstone","Normal",,2500,500,"SpawnEnemy",3500,14000,"Knight"
,,,,1000,"Spawn",6000,22000,"Tombstone"
,,,,16000,"Reset",,,
,,,,16500,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,18000,"Spawn",7000,22000,"Tombstone"
,,,,30500,"Reset",,,
"Witch","Normal",,-3500,500,"Spawn",7000,23000,"Witch"
,,,,1000,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,2000,"SpawnEnemy",3500,13000,"Minions"
,,,,15000,"CameraMode",,,"Fixed"
,,,,15000,"CameraOffset",3500,15000,
,,,,14000,"KingCrying",,,
,,,,15000,"SpawnEnemy",3500,14000,"Valkyrie"
,,,,23000,"Reset",,,
"GiantSkeleton","Fixed",5000,17500,500,"SpawnEnemy",3500,14000,"Barbarians"
,,,,500,"SpawnEnemy",3500,13000,"Witch"
,,,,3000,"Spawn",3500,20000,"GiantSkeleton"
,,,,14000,"Reset",,,
"Barbarians","Normal",,-2000,500,"Spawn",3500,20000,"Barbarians"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,9000,"KingCrying",,,
,,,,10500,"SpawnEnemy",4000,15000,"Fireball"
,,,,11000,"CameraStop",,,
,,,,15000,"Reset",,,
"Cannon","Normal",2500,2000,500,"SpawnEnemy",4000,14000,"BattleRam"
,,,,4500,"Spawn",7000,22000,"Cannon"
,,,,5500,"Spawn",7500,20000,"Skeletons"
,,,,6000,"CameraStop",,,
,,,,11500,"Reset",,,
,,,,13000,"SpawnEnemy",3500,14000,"Giant"
,,,,16000,"Spawn",9000,22000,"Cannon"
,,,,18000,"Spawn",8000,20000,"MiniPekka"
,,,,22000,"CameraStop",,,
,,,,26000,"Reset",,,
"BarbarianHut","Normal",2000,2500,500,"SpawnEnemy",3500,14000,"RoyalGiant"
,,,,4500,"Spawn",8000,22000,"BarbarianHut"
,,,,11000,"CameraStop",,,
,,,,17500,"Reset",,,
"BattleRam","Normal",2000,-2500,500,"Spawn",3500,17000,"BattleRam"
,,,,9500,"Reset",,,
,,,,9500,"KingCrying",,,
,,,,9500,"Spawn",3500,17000,"BattleRam"
,,,,11500,"SpawnEnemy",7500,9000,"Tombstone"
,,,,15000,"CameraStop",,,
,,,,21000,"Reset",,,
,,,,21000,"KingCrying",,,
,,,,21250,"Spawn",3500,17000,"BattleRam"
,,,,24500,"SpawnEnemy",3500,10000,"Valkyrie"
,,,,32500,"Reset",,,
"BarbLog","Normal",,-1500,500,"SpawnEnemy",3500,14000,"GoblinGang"
,,,,1500,"Spawn",3500,17000,"BarbLog"
,,,,9500,"Reset",,,
,,,,9500,"CameraOffset",,2000,
,,,,9750,"SpawnEnemy",3500,14000,"Musketeer"
,,,,11500,"Spawn",3500,21000,"BarbLog"
,,,,17000,"Reset",,,
,,,,17250,"SpawnEnemy",3500,14000,"Giant"
,,,,18500,"SpawnEnemy",3500,12000,"Archer"
,,,,21000,"Spawn",3500,21000,"BarbLog"
,,,,27500,"Reset",,,
"Golem","Normal",1000,-2000,500,"Spawn",3500,17000,"Golem"
,,,,2000,"Spawn",3500,20000,"Prince"
,,,,5000,"SpawnEnemy",5000,9000,"MiniPekka"
,,,,16500,"Reset",,,
,,,,16500,"KingCrying",,,
,,,,16750,"Spawn",3500,17000,"Golem"
,,,,20000,"SpawnEnemy",7000,10000,"InfernoTower"
,,,,35000,"Reset",,,
"MinionHorde","Normal",1500,-3000,500,"Spawn",3500,23000,"MinionHorde"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,7000,"SpawnEnemy",2000,7000,"BabyDragon"
,,,,7500,"KingCrying",,,
,,,,13000,"CameraStop",,,
,,,,17000,"Reset",,,
"Zap","Normal",1000,2000,500,"SpawnEnemy",4500,14000,"Minions"
,,,,1000,"SpawnEnemy",3000,14000,"SpearGoblins"
,,,,3000,"Spawn",3500,17000,"Zap"
,,,,6500,"Reset",,,
,,,,6500,"CameraOffset",1000,-3000,
,,,,6750,"Spawn",3500,17000,"Giant"
,,,,9000,"SpawnEnemy",7000,11000,"InfernoTower"
,,,,12500,"Spawn",7000,11000,"Zap"
,,,,15500,"Reset",,,
"MegaMinion","Normal",,-3000,500,"Spawn",3500,19000,"MegaMinion"
,,,,500,"SpawnEnemy",3500,14000,"Knight"
,,,,8500,"SpawnEnemy",3500,8000,"Musketeer"
,,,,9000,"KingCrying",,,
,,,,12500,"CameraStop",,,
,,,,15000,"Reset",,,
"InfernoTower","Normal",2000,1500,500,"SpawnEnemy",3500,14000,"Giant"
,,,,4500,"Spawn",9000,22000,"InfernoTower"
,,,,11000,"CameraStop",,,
,,,,14000,"Reset",,,
,,,,14000,"CameraOffset",2000,0,
,,,,14250,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,15250,"KingCrying",,,
,,,,17500,"SpawnEnemy",3500,14000,"ElectroSpirit"
,,,,18000,"Spawn",5500,23000,"InfernoTower"
,,,,28000,"Reset",,,
"Pekka","Normal",,-2500,500,"Spawn",3500,18000,"Pekka"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,8000,"KingCrying",,,
,,,,8000,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,19000,"Reset",,,
"Lightning","Normal",,,500,"SpawnEnemy",2000,8000,"Witch"
,,,,1000,"SpawnEnemy",5000,9000,"Musketeer"
,,,,2500,"Spawn",3500,8000,"Lightning"
,,,,5990,"Reset",,,
,,,,6000,"KingCrying",,,
,,,,6000,"SpawnEnemy",3500,8000,"SkeletonArmy"
,,,,7000,"Spawn",3500,8000,"Lightning"
,,,,10000,"Reset",,,
"Miner","Normal",3500,1000,500,"SpawnEnemy",1000,1000,"FirespiritHut"
,,,,1000,"Spawn",2000,1000,"Miner"
,,,,1500,"CameraStop",,,
,,,,9500,"Reset",,,
,,,,10500,"SpawnEnemy",1000,4000,"Bomber"
,,,,10700,"Spawn",1000,7500,"Miner"
,,,,18000,"Reset",,,
"LavaHound","Normal",2500,-3000,500,"Spawn",3500,17000,"LavaHound"
,,,,4500,"SpawnEnemy",6000,12000,"Tesla"
,,,,9000,"Spawn",3500,17000,"Knight"
,,,,28000,"Reset",,,
"Bats","Normal",,-1500,500,"Spawn",3500,20000,"Bats"
,,,,500,"SpawnEnemy",3500,14000,"Valkyrie"
,,,,9000,"SpawnEnemy",1500,9000,"Archer"
,,,,10000,"CameraOffset",,-3000,
,,,,10000,"KingCrying",,,
,,,,13000,"CameraStop",,,
,,,,13500,"Reset",,,
"FireSpirits","Normal",,-3000,500,"Spawn",3500,18000,"BattleRam"
,,,,1000,"Spawn",4000,17000,"FireSpirits"
,,,,4000,"SpawnEnemy",3500,7000,"Goblins"
,,,,8000,"Reset",,,
,,,,8100,"CameraOffset",,2000,
,,,,9000,"SpawnEnemy",3500,15000,"Minions"
,,,,10000,"Spawn",3500,22000,"FireSpirits"
,,,,15000,"Reset",,,
,,,,15000,"KingCrying",,,
,,,,15100,"Spawn",3500,18000,"FireSpirits"
,,,,15500,"SpawnEnemy",7000,10000,"Knight"
,,,,20000,"Reset",,,
"Wizard","Normal",,-3000,500,"Spawn",7500,23000,"Wizard"
,,,,500,"SpawnEnemy",3500,14000,"MegaMinion"
,,,,7000,"SpawnEnemy",3500,14000,"Barbarians"
,,,,10000,"CameraOffset",,2000,
,,,,12500,"Spawn",3500,16000,"Knight"
,,,,17000,"KingCrying",,,
,,,,18000,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,23000,"Reset",,,
"FirespiritHut","Fixed",5000,18000,500,"Spawn",7500,23000,"FirespiritHut"
,,,,2000,"SpawnEnemy",5000,12000,"Goblins"
,,,,6500,"SpawnEnemy",5000,12000,"Minions"
,,,,13600,"CameraOffset",5000,21000,
,,,,15000,"KingCrying",,,
,,,,15000,"SpawnEnemy",7500,23000,"Fireball"
,,,,19000,"Reset",,,
"Tornado","Normal",1500,2500,500,"SpawnEnemy",3500,14000,"HogRider"
,,,,6000,"Spawn",7000,27000,"Tornado"
,,,,10000,"CameraOffset",,-2000,
,,,,10500,"Spawn",7000,24000,"Wizard"
,,,,10750,"SpawnEnemy",3500,14000,"Giant"
,,,,12000,"SpawnEnemy",3500,12000,"Goblins"
,,,,13000,"SpawnEnemy",3500,12000,"Minions"
,,,,16000,"Spawn",2000,17000,"Tornado"
,,,,25000,"Reset",,,
"Poison","Normal",1500,,500,"SpawnEnemy",3500,13000,"GoblinGang"
,,,,1000,"Spawn",3500,16000,"Poison"
,,,,5500,"Reset",,,
,,,,5500,"SpawnEnemy",12000,6000,"ThreeMusketeers"
,,,,5750,"Spawn",13000,10000,"Poison"
,,,,18000,"Reset",,,
"DarkWitch","Normal",,-2000,500,"Spawn",4000,23000,"DarkWitch"
,,,,500,"SpawnEnemy",3500,14000,"RoyalGiant"
,,,,20000,"CameraStop",,,
,,,,28000,"Reset",,,
"EliteArcher","Normal",,-3500,500,"Spawn",6000,23000,"EliteArcher"
,,,,500,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,12750,"SpawnEnemy",3500,8000,"Goblins"
,,,,19000,"Reset",,,
,,,,19250,"KingCrying",,,
,,,,19500,"Spawn",7500,17500,"EliteArcher"
,,,,19750,"SpawnEnemy",9000,14000,"Giant"
,,,,22000,"SpawnEnemy",5000,14000,"Musketeer"
,,,,28000,"Reset",,,
"SkeletonBalloon","Normal",2000,-3000,500,"Spawn",3500,17000,"SkeletonBalloon"
,,,,14000,"Spawn",9000,17000,"SkeletonBalloon"
,,,,15000,"KingCrying",,,
,,,,20750,"SpawnEnemy",13000,4500,"BarbLog"
,,,,24000,"Reset",,,
,,,,24500,"KingLaughing",,,
,,,,24500,"Spawn",5000,17000,"SkeletonBalloon"
,,,,25500,"SpawnEnemy",4500,10500,"InfernoTower"
,,,,35000,"Reset",,,
"Mortar","Normal",,-3500,500,"Spawn",3500,18000,"Mortar"
,,,,1500,"SpawnEnemy",3500,12000,"Barbarians"
,,,,2500,"Spawn",4000,17000,"Valkyrie"
,,,,9500,"CameraOffset",,-10000,
,,,,18000,"Reset",,,
,,,,18000,"KingCrying",,,
,,,,18250,"Spawn",3500,18000,"Mortar"
,,,,19000,"SpawnEnemy",6000,12000,"Musketeer"
,,,,24000,"CameraStop",,,
,,,,27000,"Reset",,,
"Rocket","Normal",1000,-1000,500,"SpawnEnemy",1000,2000,"Musketeer"
,,,,1000,"Spawn",2500,5000,"Rocket"
,,,,5000,"SpawnEnemy",6500,4000,"Wizard"
,,,,6500,"Spawn",4000,7500,"Rocket"
,,,,11500,"Reset",,,
"DartBarrell","Normal",,-3000,500,"Spawn",9000,20000,"DartBarrell"
,,,,1500,"SpawnEnemy",8000,14000,"HogRider"
,,,,3000,"CameraOffset",,1500,
,,,,9500,"Reset",,,
,,,,9500,"CameraOffset",1500,-1500,
,,,,9500,"KingCrying",,,
,,,,9750,"Spawn",9000,17000,"DartBarrell"
,,,,12000,"SpawnEnemy",8000,14000,"MegaMinion"
,,,,17000,"Reset",,,
"Balloon","Normal",,-3500,500,"Spawn",3500,17000,"Balloon"
,,,,21000,"Spawn",14000,14000,"Balloon"
,,,,21000,"KingCrying",,,
,,,,23000,"SpawnEnemy",10000,10000,"Musketeer"
,,,,25000,"SpawnEnemy",18000,9000,"ElectroSpirit"
,,,,33500,"Reset",,,
"Xbow","Normal",2000,-3000,500,"Spawn",3500,19000,"Xbow"
,,,,2500,"SpawnEnemy",6000,13000,"Hunter"
,,,,10000,"CameraOffset",,-6500,
,,,,10500,"SpawnEnemy",2000,11500,"Goblins"
,,,,11000,"Spawn",3500,17000,"Knight"
,,,,17990,"Reset",,,
,,,,18000,"Spawn",14000,19000,"Xbow"
,,,,18000,"CameraOffset",-1000,-3000,
,,,,19000,"KingCrying",,,
,,,,20000,"SpawnEnemy",10000,13000,"RoyalGiant"
,,,,32000,"Reset",,,
"Log","Normal",,1500,500,"SpawnEnemy",3500,12000,"GoblinGang"
,,,,1500,"Spawn",3500,19000,"Log"
,,,,5500,"SpawnEnemy",12000,12000,"Princess"
,,,,7000,"Spawn",12000,12500,"Log"
,,,,9500,"Reset",,,
"InfernoDragon","Normal",,-3500,500,"Spawn",6000,23000,"InfernoDragon"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,6000,"CameraOffset",,0,
,,,,12000,"SpawnEnemy",3500,14000,"HogRider"
,,,,13000,"CameraOffset",,-2500,
,,,,13500,"KingCrying",,,
,,,,14000,"SpawnEnemy",3500,12000,"ElectroWizard"
,,,,26500,"Reset",,,
"RoyalGiant","Normal",1500,-3000,500,"Spawn",3500,17000,"RoyalGiant"
,,,,4000,"SpawnEnemy",6000,11000,"Cannon"
,,,,12000,"Spawn",14000,17000,"RoyalGiant"
,,,,12500,"KingCrying",,,
,,,,12500,"SpawnEnemy",9000,9000,"InfernoTower"
,,,,21000,"CameraStop",,,
,,,,24000,"Reset",,,
"RoyalRecruits","Fixed",9000,17500,500,"Spawn",8000,21000,"RoyalRecruits"
,,,,750,"SpawnEnemy",3500,14000,"HogRider"
,,,,750,"SpawnEnemy",14000,14000,"BattleRam"
,,,,9000,"SpawnEnemy",9000,14000,"Wizard"
,,,,9500,"KingCrying",,,
,,,,18500,"Reset",,,
"RoyalHogs","Normal",2000,-2500,500,"Spawn",3500,17000,"RoyalHogs"
,,,,4000,"SpawnEnemy",3500,11000,"Zap"
,,,,15500,"Reset",,,
,,,,16000,"KingCrying",,,
,,,,16500,"Spawn",14000,17000,"RoyalHogs"
,,,,18000,"SpawnEnemy",10000,10000,"BombTower"
,,,,23000,"CameraStop",,,
,,,,26000,"Reset",,,
"ThreeMusketeers","Fixed",10000,17000,500,"SpawnEnemy",5000,14000,"Balloon"
,,,,500,"SpawnEnemy",14000,14000,"Giant"
,,,,2500,"Spawn",9000,20000,"ThreeMusketeers"
,,,,5500,"CameraOffset",10000,19500,
,,,,12000,"CameraOffset",9000,14000,
,,,,13000,"Spawn",6000,17000,"BattleRam"
,,,,13500,"Spawn",14000,17000,"Knight"
,,,,19000,"Reset",,,
,,,,17750,"KingCrying",,,
,,,,17750,"Spawn",9000,20000,"ThreeMusketeers"
,,,,19000,"SpawnEnemy",9000,20000,"Fireball"
,,,,19500,"SpawnEnemy",9000,20000,"Zap"
,,,,24500,"Reset",,,
"DarkPrince","Normal",1500,-3000,500,"Spawn",3500,17000,"DarkPrince"
,,,,4000,"SpawnEnemy",6500,12000,"SkeletonWarriors"
,,,,12000,"Spawn",14000,14000,"DarkPrince"
,,,,12500,"KingCrying",,,
,,,,16000,"SpawnEnemy",11000,7500,"Prince"
,,,,22500,"Reset",,,
"SkeletonWarriors","Normal",1500,2000,500,"SpawnEnemy",3500,14000,"Pekka"
,,,,3500,"Spawn",7000,21000,"SkeletonWarriors"
,,,,18000,"Reset",,,
,,,,18500,"KingCrying",,,
,,,,19000,"SpawnEnemy",3500,14000,"Wizard"
,,,,22000,"Spawn",7000,21000,"SkeletonWarriors"
,,,,26500,"Reset",,,
"Princess","Normal",,-3500,500,"Spawn",7000,22000,"Princess"
,,,,5000,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,11000,"KingCrying",,,
,,,,12000,"SpawnEnemy",3500,14000,"BarbLog"
,,,,12000,"CameraOffset",,2000,
,,,,15500,"Reset",,,
"MegaKnight","Normal",,-1500,500,"SpawnEnemy",3500,14000,"SkeletonWarriors"
,,,,1000,"SpawnEnemy",3500,12000,"RoyalHogs"
,,,,4000,"Spawn",3500,18000,"MegaKnight"
,,,,11500,"KingCrying",,,
,,,,12000,"SpawnEnemy",7000,9000,"Pekka"
,,,,23000,"Reset",,,
"Snowball","Normal",,-500,500,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,2500,"Spawn",3500,17500,"Snowball"
,,,,5000,"Spawn",3500,17000,"Giant"
,,,,8500,"SpawnEnemy",5000,16000,"MiniPekka"
,,,,9000,"Spawn",3000,14000,"Snowball"
,,,,9500,"Spawn",3500,17000,"Skeletons"
,,,,11000,"CameraStop",,,
,,,,17000,"Reset",,,
"IceSpirits","Normal",1500,2000,500,"SpawnEnemy",3500,14000,"Musketeer"
,,,,4000,"Spawn",6500,19000,"IceSpirits"
,,,,9500,"SpawnEnemy",3500,14000,"DarkPrince"
,,,,13000,"Spawn",6500,24000,"IceSpirits"
,,,,15500,"Spawn",3500,21000,"Knight"
,,,,21000,"Reset",,,
"IceGolemite","Normal",1500,-2000,500,"Spawn",3500,17000,"IceGolemite"
,,,,1500,"Spawn",3500,19000,"HogRider"
,,,,8500,"Reset",,,
,,,,8500,"SpawnEnemy",3500,14000,"Minions"
,,,,8500,"CameraOffset",1500,2000,
,,,,9500,"Spawn",3500,20000,"IceGolemite"
,,,,17500,"Reset",,,
,,,,17500,"CameraOffset",3000,2000,
,,,,17750,"SpawnEnemy",3500,14000,"GiantSkeleton"
,,,,20500,"Spawn",9000,17000,"IceGolemite"
,,,,25000,"CameraOffset",1500,-2500,
,,,,26500,"SpawnEnemy",14000,13000,"MiniPekka"
,,,,26750,"KingCrying",,,
,,,,32500,"Reset",,,
"Elixir Collector","Fixed",5000,26500,500,"Spawn",2000,28000,"Elixir Collector"
,,,,9500,"SpawnEnemy",2000,28000,"Miner"
,,,,12500,"Spawn",2000,28000,"Goblins"
,,,,21000,"Reset",,,
"Freeze","Normal",1500,-2000,500,"Spawn",3500,17000,"HogRider"
,,,,4000,"SpawnEnemy",3500,7500,"SkeletonWarriors"
,,,,6000,"Spawn",3500,6500,"Freeze"
,,,,12000,"Reset",,,
,,,,12250,"Spawn",16000,17000,"RoyalHogs"
,,,,18000,"Spawn",15000,6500,"Freeze"
,,,,25500,"Reset",,,
"Bowler","Normal",1500,-3000,500,"Spawn",3500,22000,"Bowler"
,,,,500,"SpawnEnemy",3500,14000,"BattleRam"
,,,,14000,"KingCrying",,,
,,,,14500,"SpawnEnemy",3500,14000,"Minions"
,,,,16000,"CameraStop",,,
,,,,22000,"Reset",,,
"IceWizard","Normal",,-3000,500,"Spawn",7000,22000,"IceWizard"
,,,,500,"SpawnEnemy",3500,14000,"SkeletonArmy"
,,,,4500,"SpawnEnemy",3500,14000,"MinionHorde"
,,,,8000,"Spawn",6000,20000,"IceGolemite"
,,,,14000,"Reset",,,
,,,,14000,"SpawnEnemy",3500,14000,"Bats"
,,,,16500,"Spawn",3500,17000,"IceWizard"
,,,,22000,"Reset",,,
,,,,22200,"KingCrying",,,
,,,,22450,"Spawn",3500,17000,"IceWizard"
,,,,25500,"SpawnEnemy",1500,11000,"MiniPekka"
,,,,31000,"Reset",,,
"RageBarbarian","Normal",2000,-2000,500,"Spawn",3500,19000,"RageBarbarian"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,12200,"SpawnEnemy",6000,9000,"GoblinGang"
,,,,14000,"Spawn",3500,17000,"Balloon"
,,,,14000,"CameraOffset",1500,-3000,
,,,,28000,"Reset",,,
"GoblinGang","Normal",2000,2000,500,"SpawnEnemy",3500,14000,"Prince"
,,,,4500,"Spawn",7500,22000,"GoblinGang"
,,,,13500,"Reset",,,
"Rascals","Normal",,-1500,500,"Spawn",9000,20000,"Rascals"
,,,,1000,"SpawnEnemy",5000,14000,"Goblins"
,,,,1500,"SpawnEnemy",11000,14000,"GoblinGang"
,,,,12000,"Reset",,,
"BlowdartGoblin","Normal",,-3500,500,"Spawn",9000,23000,"BlowdartGoblin"
,,,,700,"SpawnEnemy",9000,14000,"RoyalRecruits"
,,,,5000,"Spawn",8500,18000,"Knight"
,,,,17000,"Reset",,,
"Earthquake","Normal",1500,-2500,500,"Spawn",2000,17000,"HogRider"
,,,,2500,"SpawnEnemy",6000,9000,"Tombstone"
,,,,5000,"Spawn",4500,8500,"Earthquake"
