"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsKunlun","ExistsJupiter","Diamonds","USD","RMB","Order","IconFile","LenovoID","CoolpadID","JupiterID","HuaweiID","KunlunID","StarterPackName","IsRedPackage","RumblePackName","ChronosOfferName","RedeemMax","CampaignId","SeasonPassName","PiggyBankName","SCIDStore",SeasonPass,SeasonPassTier
"com.supercell.scroll.specialoffertier58","TID_SPECIAL_OFFER_25",,"TRUE","TRUE","TRUE","TRUE",,8999,58800,,"shop_gems01",200013,57,"GD2021110316359228972882",2101057,21011057,,,,"ChronosOffer_58",,,,,,,
"com.supercell.scroll.specialoffertier52","TID_SPECIAL_OFFER_25",,"TRUE","TRUE","TRUE","TRUE",,5999,38800,,"shop_gems01",200009,53,"GD2021110316359228014423",2101053,21011053,,,,"ChronosOffer_52",,,,,,,
"com.supercell.scroll.youtubeooapgempack1","TID_YOUTUBE_GEMPACK_1","TRUE",,"TRUE",,,100,99,,,,,,,,,,,,,999,22,,,,,
"com.supercell.scroll.youtubeooapgempack2","TID_YOUTUBE_GEMPACK_2","TRUE",,"TRUE",,,200,199,,,,,,,,,,,,,999,22,,,,,
"com.supercell.scroll.youtubeooapgempack3","TID_YOUTUBE_GEMPACK_3","TRUE",,"TRUE",,,500,499,,,,,,,,,,,,,999,22,,,,,
"com.supercell.scroll.youtubeooapgempack4","TID_YOUTUBE_GEMPACK_4","TRUE",,"TRUE",,,1500,1199,,,,,,,,,,,,,999,22,,,,,
"com.supercell.scroll.youtubeooapspecialoffertier399","TID_YOUTUBE_OFFER_1","TRUE",,"TRUE",,,,399,,,,,,,,,,,,"ChronosOffer_61",,,,,,,
"com.supercell.scroll.youtubeooapspecialoffertier999","TID_YOUTUBE_OFFER_2","TRUE",,"TRUE",,,,999,,,,,,,,,,,,"ChronosOffer_62",,,,,,,
"com.supercell.scroll.youtubeooapspecialoffertier1999","TID_YOUTUBE_OFFER_3","TRUE",,"TRUE",,,,1999,,,,,,,,,,,,"ChronosOffer_63",,,,,,,
"com.supercell.scroll.piggybanktier199_2","TID_PIGGY_BANK",,"TRUE","TRUE",,,,199,,,,,,,,,,,,,,,,"PiggyBank",,,
"com.supercell.scroll.piggybanktier299","TID_PIGGY_BANK",,"TRUE","TRUE",,,,299,,,,,,,,,,,,,,,,"PiggyBank_299",,,
"com.supercell.scroll.piggybanktier499","TID_PIGGY_BANK",,"TRUE","TRUE",,,,499,,,,,,,,,,,,,,,,"PiggyBank_499",,,
"com.supercell.scroll.scid.gempack0","TID_DIAMOND_PACK_1",,"FALSE","FALSE","FALSE","FALSE",500,0,,1,"shop_gems02",,,,,,,,,,,,,,"TRUE","FALSE",
"com.supercell.scroll.scid.gempack1","TID_DIAMOND_PACK_2",,"FALSE","FALSE","FALSE","FALSE",1200,0,,2,"shop_gems03",,,,,,,,,,,,,,"TRUE","FALSE",
"com.supercell.scroll.scid.gempack2","TID_DIAMOND_PACK_3",,"FALSE","FALSE","FALSE","FALSE",2500,0,,3,"shop_gems04",,,,,,,,,,,,,,"TRUE","FALSE",
"com.supercell.scroll.scid.gempack3","TID_DIAMOND_PACK_4",,"FALSE","FALSE","FALSE","FALSE",6500,0,,4,"shop_gems05",,,,,,,,,,,,,,"TRUE","FALSE",
"com.supercell.scroll.scid.gempack4","TID_DIAMOND_PACK_5",,"FALSE","FALSE","FALSE","FALSE",14000,0,,5,"shop_gems06",,,,,,,,,,,,,,"TRUE","FALSE",
"com.supercell.scroll.scid.gempack5","TID_DIAMOND_PACK_0",,"FALSE","FALSE","FALSE","FALSE",80,0,,0,"shop_gems01",,,,,,,,,,,,,,"TRUE","FALSE",
com.supercell.scroll.seasonpass.basic,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,599,4000,,shop_gems01,,,,,,,,,,,,SeasonPassBasic,,,TRUE,1
com.supercell.scroll.seasonpass.premium,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,1199,7800,,shop_gems01,,,,,,,,,,,,SeasonPassPremium,,,TRUE,2
com.supercell.scroll.seasonpass.upgrade,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,699,4500,,shop_gems01,,,,,,,,,,,,SeasonPassUpgrade,,,TRUE,3
com.supercell.scroll.scid.seasonpass.basic,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,599,4000,,shop_gems01,,,,,,,,,,,,SCIDSeasonPassBasic,,TRUE,TRUE,1
com.supercell.scroll.scid.seasonpass.premium,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,1199,7800,,shop_gems01,,,,,,,,,,,,SCIDSeasonPassPremium,,TRUE,TRUE,2
com.supercell.scroll.razer.gempack0,"TID_DIAMOND_PACK_1",,"FALSE","FALSE","FALSE","FALSE",500,0,,1,"shop_gems02",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.gempack1,"TID_DIAMOND_PACK_2",,"FALSE","FALSE","FALSE","FALSE",1200,0,,2,"shop_gems03",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.gempack2,"TID_DIAMOND_PACK_3",,"FALSE","FALSE","FALSE","FALSE",2500,0,,3,"shop_gems04",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.gempack3,"TID_DIAMOND_PACK_4",,"FALSE","FALSE","FALSE","FALSE",6500,0,,4,"shop_gems05",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.gempack4,"TID_DIAMOND_PACK_5",,"FALSE","FALSE","FALSE","FALSE",14000,0,,5,"shop_gems06",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.gempack5,"TID_DIAMOND_PACK_0",,"FALSE","FALSE","FALSE","FALSE",80,0,,0,"shop_gems01",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.razer.seasonpass.basic,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,599,4000,,shop_gems01,,,,,,,,,,,,SeasonPassBasic,,,TRUE,1
com.supercell.scroll.razer.seasonpass.premium,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,1199,7800,,shop_gems01,,,,,,,,,,,,SeasonPassPremium,,,TRUE,2
com.supercell.scroll.coda.gempack0,"TID_DIAMOND_PACK_1",,"FALSE","FALSE","FALSE","FALSE",500,0,,1,"shop_gems02",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.gempack1,"TID_DIAMOND_PACK_2",,"FALSE","FALSE","FALSE","FALSE",1200,0,,2,"shop_gems03",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.gempack2,"TID_DIAMOND_PACK_3",,"FALSE","FALSE","FALSE","FALSE",2500,0,,3,"shop_gems04",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.gempack3,"TID_DIAMOND_PACK_4",,"FALSE","FALSE","FALSE","FALSE",6500,0,,4,"shop_gems05",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.gempack4,"TID_DIAMOND_PACK_5",,"FALSE","FALSE","FALSE","FALSE",14000,0,,5,"shop_gems06",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.gempack5,"TID_DIAMOND_PACK_0",,"FALSE","FALSE","FALSE","FALSE",80,0,,0,"shop_gems01",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.coda.seasonpass.basic,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,599,4000,,shop_gems01,,,,,,,,,,,,SeasonPassBasic,,,TRUE,1
com.supercell.scroll.coda.seasonpass.premium,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,1199,7800,,shop_gems01,,,,,,,,,,,,SeasonPassPremium,,,TRUE,2
com.supercell.scroll.midas.gempack0,"TID_DIAMOND_PACK_1",,"FALSE","FALSE","FALSE","FALSE",500,0,,1,"shop_gems02",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.gempack1,"TID_DIAMOND_PACK_2",,"FALSE","FALSE","FALSE","FALSE",1200,0,,2,"shop_gems03",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.gempack2,"TID_DIAMOND_PACK_3",,"FALSE","FALSE","FALSE","FALSE",2500,0,,3,"shop_gems04",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.gempack3,"TID_DIAMOND_PACK_4",,"FALSE","FALSE","FALSE","FALSE",6500,0,,4,"shop_gems05",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.gempack4,"TID_DIAMOND_PACK_5",,"FALSE","FALSE","FALSE","FALSE",14000,0,,5,"shop_gems06",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.gempack5,"TID_DIAMOND_PACK_0",,"FALSE","FALSE","FALSE","FALSE",80,0,,0,"shop_gems01",,,,,,,,,,,,,,,"FALSE",
com.supercell.scroll.midas.seasonpass.basic,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,599,4000,,shop_gems01,,,,,,,,,,,,SeasonPassBasic,,,TRUE,1
com.supercell.scroll.midas.seasonpass.premium,TID_SEASON_PASS,,TRUE,TRUE,TRUE,TRUE,,1199,7800,,shop_gems01,,,,,,,,,,,,SeasonPassPremium,,,TRUE,2
